"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.7","17.6","100"
"2",2019-03-25 02:00:00,"0.0","1010.9","17.8","100"
"3",2019-03-25 03:00:00,"0.0","1010.5","17.9","100"
"4",2019-03-25 04:00:00,"0.0","1010.5","18.2","100"
"5",2019-03-25 05:00:00,"0.0","1011.3","16.9","100"
"6",2019-03-25 06:00:00,"0.0","1011.9","17.1","100"
"7",2019-03-25 07:00:00,"0.0","1012.6","17.8","100"
"8",2019-03-25 08:00:00,"0.0","1012.8","19.5","100"
"9",2019-03-25 09:00:00,"0.0","1013.4","21.4","100"
"10",2019-03-25 10:00:00,"0.0","1013.3","24.2","70"
"11",2019-03-25 11:00:00,"0.0","1013.2","25.1","65"
"12",2019-03-25 12:00:00,"0.0","1012.6","25.8","62"
"13",2019-03-25 13:00:00,"0.0","1011.9","26.5","62"
"14",2019-03-25 14:00:00,"0.0","1011.2","27.0","60"
"15",2019-03-25 15:00:00,"0.0","1010.9","26.0","64"
"16",2019-03-25 16:00:00,"0.0","1010.4","25.8","64"
"17",2019-03-25 17:00:00,"0.0","1010.2","25.2","67"
"18",2019-03-25 18:00:00,"0.0","1010.6","24.1","77"
"19",2019-03-25 19:00:00,"0.0","1011.2","22.1","100"
"20",2019-03-25 20:00:00,"0.0","1011.7","21.2","100"
"21",2019-03-25 21:00:00,"0.0","1012.5","20.5","100"
"22",2019-03-25 22:00:00,"0.0","1012.7","20.1","100"
"23",2019-03-25 23:00:00,"0.0","1012.5","19.7","100"
"24",2019-03-26 00:00:00,"0.0","1012.7","19.5","100"
