"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.6","17.2","85"
"2",2019-03-25 02:00:00,"0.0","1013.6","16.9","87"
"3",2019-03-25 03:00:00,"0.0","1013.9","17.1","87"
"4",2019-03-25 04:00:00,"0.0","1013.9","17.2","86"
"5",2019-03-25 05:00:00,"0.0","1014.2","17.3","86"
"6",2019-03-25 06:00:00,"0.0","1014.3","17.7","85"
"7",2019-03-25 07:00:00,"0.0","1014.9","18.0","85"
"8",2019-03-25 08:00:00,"0.2","1016.0","18.0","86"
"9",2019-03-25 09:00:00,"0.3","1016.0","18.4","84"
"10",2019-03-25 10:00:00,"2.5","1016.5","19.1","93"
"11",2019-03-25 11:00:00,"5.0","1016.5","19.2","95"
"12",2019-03-25 12:00:00,"T","1015.9","19.4","92"
"13",2019-03-25 13:00:00,"3.0","1016.0","18.6","92"
"14",2019-03-25 14:00:00,"5.0","1015.7","19.0","93"
"15",2019-03-25 15:00:00,"0.5","1015.5","18.7","92"
"16",2019-03-25 16:00:00,"T","1015.5","18.5","92"
"17",2019-03-25 17:00:00,"0.0","1015.2","18.5","92"
"18",2019-03-25 18:00:00,"0.0","1015.7","18.3","92"
"19",2019-03-25 19:00:00,"0.0","1016.2","18.2","93"
"20",2019-03-25 20:00:00,"0.0","1016.8","18.2","94"
"21",2019-03-25 21:00:00,"0.0","1017.7","18.2","93"
"22",2019-03-25 22:00:00,"0.0","1017.9","18.1","94"
"23",2019-03-25 23:00:00,"0.0","1018.2","18.2","94"
"24",2019-03-26 00:00:00,"0.3","1018.4","17.9","94"
