"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.6","18.4","89"
"2",2019-03-25 02:00:00,"0.0","1011.2","18.3","87"
"3",2019-03-25 03:00:00,"0.0","1011.7","18.3","84"
"4",2019-03-25 04:00:00,"0.0","1011.6","18.1","86"
"5",2019-03-25 05:00:00,"0.0","1012.0","18.6","86"
"6",2019-03-25 06:00:00,"0.0","1012.2","19.5","81"
"7",2019-03-25 07:00:00,"0.0","1012.8","18.6","86"
"8",2019-03-25 08:00:00,"3.5","1013.9","18.9","91"
"9",2019-03-25 09:00:00,"3.0","1013.3","18.7","99"
"10",2019-03-25 10:00:00,"0.5","1014.6","18.8","100"
"11",2019-03-25 11:00:00,"1.0","1014.7","19.0","100"
"12",2019-03-25 12:00:00,"0.5","1014.4","18.6","100"
"13",2019-03-25 13:00:00,"5.5","1013.9","18.0","100"
"14",2019-03-25 14:00:00,"2.5","1013.9","18.1","100"
"15",2019-03-25 15:00:00,"0.0","1013.5","18.1","100"
"16",2019-03-25 16:00:00,"0.0","1013.7","17.9","100"
"17",2019-03-25 17:00:00,"0.5","1013.5","17.7","100"
"18",2019-03-25 18:00:00,"0.0","1013.8","17.7","100"
"19",2019-03-25 19:00:00,"0.0","1014.2","17.5","99"
"20",2019-03-25 20:00:00,"0.0","1014.9","17.6","100"
"21",2019-03-25 21:00:00,"0.0","1015.7","17.9","100"
"22",2019-03-25 22:00:00,"0.0","1016.0","18.1","98"
"23",2019-03-25 23:00:00,"X","1016.3","18.0","94"
"24",2019-03-26 00:00:00,"0.0","1016.6","17.8","91"
