"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1001.5","16.2","98"
"2",2019-03-25 02:00:00,"0.0","1000.7","15.9","98"
"3",2019-03-25 03:00:00,"0.0","1001.1","16.0","98"
"4",2019-03-25 04:00:00,"0.0","1001.5","16.3","98"
"5",2019-03-25 05:00:00,"0.0","1001.6","16.5","98"
"6",2019-03-25 06:00:00,"0.0","1001.7","16.6","98"
"7",2019-03-25 07:00:00,"0.5","1002.3","16.9","98"
"8",2019-03-25 08:00:00,"0.0","1003.3","17.3","98"
"9",2019-03-25 09:00:00,"0.0","1003.5","17.6","98"
"10",2019-03-25 10:00:00,"4.5","1004.3","17.8","98"
"11",2019-03-25 11:00:00,"2.0","1003.7","18.4","98"
"12",2019-03-25 12:00:00,"0.5","1003.8","18.1","98"
"13",2019-03-25 13:00:00,"4.0","1004.1","16.4","98"
"14",2019-03-25 14:00:00,"14.5","1002.7","16.4","98"
"15",2019-03-25 15:00:00,"0.5","1003.2","17.0","98"
"16",2019-03-25 16:00:00,"0.0","1002.9","17.4","98"
"17",2019-03-25 17:00:00,"0.0","1002.3","17.7","98"
"18",2019-03-25 18:00:00,"0.0","1003.1","17.2","98"
"19",2019-03-25 19:00:00,"0.0","1003.4","17.1","98"
"20",2019-03-25 20:00:00,"0.0","1003.7","17.2","98"
"21",2019-03-25 21:00:00,"0.0","1004.6","17.2","98"
"22",2019-03-25 22:00:00,"0.0","1005.0","17.3","98"
"23",2019-03-25 23:00:00,"0.0","1005.1","17.3","98"
"24",2019-03-26 00:00:00,"0.0","1005.1","17.3","98"
