"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1010.1","17.6","100"
"2",2019-03-25 02:00:00,"0.0","1009.0","17.4","100"
"3",2019-03-25 03:00:00,"0.0","1009.0","17.5","100"
"4",2019-03-25 04:00:00,"0.0","1009.4","16.8","100"
"5",2019-03-25 05:00:00,"0.0","1010.1","17.6","100"
"6",2019-03-25 06:00:00,"0.0","1010.2","17.9","100"
"7",2019-03-25 07:00:00,"0.0","1010.2","18.2","100"
"8",2019-03-25 08:00:00,"0.0","1011.1","19.2","99"
"9",2019-03-25 09:00:00,"0.0","1011.8","20.3","96"
"10",2019-03-25 10:00:00,"0.0","1012.5","19.9","98"
"11",2019-03-25 11:00:00,"0.0","1012.4","20.1","98"
"12",2019-03-25 12:00:00,"0.0","1012.3","19.8","99"
"13",2019-03-25 13:00:00,"0.0","1011.7","20.1","99"
"14",2019-03-25 14:00:00,"0.0","1010.8","19.0","100"
"15",2019-03-25 15:00:00,"0.5","1010.5","19.7","100"
"16",2019-03-25 16:00:00,"0.0","1010.3","20.8","98"
"17",2019-03-25 17:00:00,"0.0","1010.0","21.6","95"
"18",2019-03-25 18:00:00,"0.0","1009.9","21.2","97"
"19",2019-03-25 19:00:00,"0.0","1010.2","20.2","99"
"20",2019-03-25 20:00:00,"0.0","1010.7","19.5","100"
"21",2019-03-25 21:00:00,"0.0","1011.4","18.9","100"
"22",2019-03-25 22:00:00,"0.0","1011.8","18.2","100"
"23",2019-03-25 23:00:00,"0.0","1011.7","18.4","100"
"24",2019-03-26 00:00:00,"0.0","1011.8","18.4","100"
