"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.0","17.5","95"
"2",2019-03-25 02:00:00,"0.0","1011.9","17.4","97"
"3",2019-03-25 03:00:00,"0.0","1012.1","16.6","97"
"4",2019-03-25 04:00:00,"0.0","1012.2","16.7","98"
"5",2019-03-25 05:00:00,"0.0","1012.9","16.8","98"
"6",2019-03-25 06:00:00,"0.0","1012.9","16.8","98"
"7",2019-03-25 07:00:00,"0.0","1013.2","17.5","97"
"8",2019-03-25 08:00:00,"0.0","1013.9","18.5","95"
"9",2019-03-25 09:00:00,"0.0","1014.6","19.9","90"
"10",2019-03-25 10:00:00,"0.0","1014.9","21.7","81"
"11",2019-03-25 11:00:00,"0.0","1015.1","20.3","88"
"12",2019-03-25 12:00:00,"0.0","1014.9","20.8","85"
"13",2019-03-25 13:00:00,"0.0","1014.1","21.7","82"
"14",2019-03-25 14:00:00,"0.0","1013.3","21.8","81"
"15",2019-03-25 15:00:00,"0.0","1012.9","21.5","85"
"16",2019-03-25 16:00:00,"0.0","1012.6","20.6","87"
"17",2019-03-25 17:00:00,"0.0","1012.4","20.9","87"
"18",2019-03-25 18:00:00,"0.0","1012.7","21.1","87"
"19",2019-03-25 19:00:00,"0.0","1012.9","20.5","89"
"20",2019-03-25 20:00:00,"0.0","1013.5","20.0","92"
"21",2019-03-25 21:00:00,"0.0","1014.2","19.6","93"
"22",2019-03-25 22:00:00,"0.0","1014.4","19.4","94"
"23",2019-03-25 23:00:00,"0.0","1014.5","19.1","94"
"24",2019-03-26 00:00:00,"0.0","1014.5","19.3","93"
