"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1001.7","17.1","97"
"2",2019-03-25 02:00:00,"0.0","1000.9","17.3","97"
"3",2019-03-25 03:00:00,"0.0","1000.6","17.0","97"
"4",2019-03-25 04:00:00,"0.0","1000.6","16.9","97"
"5",2019-03-25 05:00:00,"0.0","/","/","/"
"6",2019-03-25 06:00:00,"0.0","1001.9","17.0","97"
"7",2019-03-25 07:00:00,"0.0","1002.1","17.4","97"
"8",2019-03-25 08:00:00,"0.0","1002.7","19.0","96"
"9",2019-03-25 09:00:00,"0.0","1003.1","20.7","92"
"10",2019-03-25 10:00:00,"0.0","1003.4","24.3","72"
"11",2019-03-25 11:00:00,"0.0","1003.2","25.2","63"
"12",2019-03-25 12:00:00,"0.0","1002.6","26.9","57"
"13",2019-03-25 13:00:00,"0.0","1002.0","27.4","57"
"14",2019-03-25 14:00:00,"0.0","1001.2","27.5","57"
"15",2019-03-25 15:00:00,"0.0","1000.9","25.4","64"
"16",2019-03-25 16:00:00,"0.0","1000.3","27.6","58"
"17",2019-03-25 17:00:00,"0.0","1000.2","26.1","65"
"18",2019-03-25 18:00:00,"0.0","1000.5","23.9","73"
"19",2019-03-25 19:00:00,"0.0","1001.1","21.7","84"
"20",2019-03-25 20:00:00,"0.0","1001.5","20.7","89"
"21",2019-03-25 21:00:00,"0.0","1002.3","20.1","92"
"22",2019-03-25 22:00:00,"0.0","1002.6","19.4","93"
"23",2019-03-25 23:00:00,"0.0","1002.4","18.8","94"
"24",2019-03-26 00:00:00,"0.0","1002.4","18.4","95"
