"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","/","/","/"
"2",2019-03-25 02:00:00,"0.0","1008.9","19.3","84"
"3",2019-03-25 03:00:00,"0.0","/","/","/"
"4",2019-03-25 04:00:00,"0.0","/","/","/"
"5",2019-03-25 05:00:00,"0.0","1009.2","18.7","85"
"6",2019-03-25 06:00:00,"0.0","1009.5","18.5","89"
"7",2019-03-25 07:00:00,"0.0","1009.9","19.2","84"
"8",2019-03-25 08:00:00,"0.0","1010.5","19.1","85"
"9",2019-03-25 09:00:00,"0.5","1011.3","18.2","91"
"10",2019-03-25 10:00:00,"0.5","1011.1","18.8","91"
"11",2019-03-25 11:00:00,"0.5","1011.6","18.5","94"
"12",2019-03-25 12:00:00,"0.5","1010.6","18.3","96"
"13",2019-03-25 13:00:00,"0.0","1010.3","18.1","96"
"14",2019-03-25 14:00:00,"1.5","1010.5","17.4","99"
"15",2019-03-25 15:00:00,"0.0","1009.2","17.4","97"
"16",2019-03-25 16:00:00,"0.0","1009.9","17.6","94"
"17",2019-03-25 17:00:00,"0.0","1010.0","17.2","95"
"18",2019-03-25 18:00:00,"0.0","1010.1","17.4","94"
"19",2019-03-25 19:00:00,"0.0","1010.5","17.4","94"
"20",2019-03-25 20:00:00,"0.0","1011.6","17.8","92"
"21",2019-03-25 21:00:00,"X","1012.3","17.7","92"
"22",2019-03-25 22:00:00,"0.0","1013.1","17.8","90"
"23",2019-03-25 23:00:00,"X","1013.3","17.8","86"
"24",2019-03-26 00:00:00,"0.0","1013.8","17.7","84"
