"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.3","17.4","90"
"2",2019-03-25 02:00:00,"0.0","1011.8","16.9","91"
"3",2019-03-25 03:00:00,"0.0","1011.5","16.7","91"
"4",2019-03-25 04:00:00,"0.0","1011.9","16.6","93"
"5",2019-03-25 05:00:00,"0.0","1012.7","17.5","92"
"6",2019-03-25 06:00:00,"0.0","1012.7","17.5","92"
"7",2019-03-25 07:00:00,"0.0","1012.6","18.1","94"
"8",2019-03-25 08:00:00,"0.0","1013.6","18.6","94"
"9",2019-03-25 09:00:00,"0.0","1014.5","19.7","93"
"10",2019-03-25 10:00:00,"0.0","1014.5","22.6","80"
"11",2019-03-25 11:00:00,"0.0","1014.5","23.0","75"
"12",2019-03-25 12:00:00,"0.0","1014.2","21.6","80"
"13",2019-03-25 13:00:00,"0.0","1013.7","23.5","78"
"14",2019-03-25 14:00:00,"0.0","1012.7","23.0","76"
"15",2019-03-25 15:00:00,"0.0","1012.1","22.4","81"
"16",2019-03-25 16:00:00,"0.0","1012.0","22.8","78"
"17",2019-03-25 17:00:00,"0.0","1012.0","22.2","80"
"18",2019-03-25 18:00:00,"0.0","1012.0","21.5","80"
"19",2019-03-25 19:00:00,"0.0","1012.5","20.4","84"
"20",2019-03-25 20:00:00,"0.0","1013.1","19.8","86"
"21",2019-03-25 21:00:00,"0.0","1013.8","19.4","87"
"22",2019-03-25 22:00:00,"0.0","1013.9","18.8","88"
"23",2019-03-25 23:00:00,"0.0","1013.9","18.9","88"
"24",2019-03-26 00:00:00,"0.0","1014.1","18.2","90"
