"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","893.5","13.3","99"
"2",2019-03-25 02:00:00,"0.0","893.0","13.6","99"
"3",2019-03-25 03:00:00,"0.0","892.6","13.7","99"
"4",2019-03-25 04:00:00,"0.0","892.7","13.5","99"
"5",2019-03-25 05:00:00,"0.0","893.2","13.4","99"
"6",2019-03-25 06:00:00,"0.0","893.9","13.5","99"
"7",2019-03-25 07:00:00,"0.0","894.1","13.5","99"
"8",2019-03-25 08:00:00,"0.0","895.0","16.7","99"
"9",2019-03-25 09:00:00,"0.0","895.6","18.1","91"
"10",2019-03-25 10:00:00,"0.0","895.7","16.6","99"
"11",2019-03-25 11:00:00,"0.0","895.9","16.1","99"
"12",2019-03-25 12:00:00,"0.0","895.6","16.7","99"
"13",2019-03-25 13:00:00,"0.0","895.6","16.6","99"
"14",2019-03-25 14:00:00,"0.0","894.9","17.1","99"
"15",2019-03-25 15:00:00,"0.0","894.9","17.5","99"
"16",2019-03-25 16:00:00,"0.0","895.0","17.5","99"
"17",2019-03-25 17:00:00,"0.0","894.8","18.9","90"
"18",2019-03-25 18:00:00,"0.0","894.8","18.5","89"
"19",2019-03-25 19:00:00,"0.0","895.0","16.7","96"
"20",2019-03-25 20:00:00,"0.0","895.5","17.5","92"
"21",2019-03-25 21:00:00,"0.0","896.0","16.6","95"
"22",2019-03-25 22:00:00,"0.0","896.2","17.2","84"
"23",2019-03-25 23:00:00,"0.0","895.9","17.1","84"
"24",2019-03-26 00:00:00,"0.0","895.8","16.0","95"
