"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","966.6","16.2","100"
"2",2019-03-25 02:00:00,"0.0","966.0","16.2","99"
"3",2019-03-25 03:00:00,"0.0","965.7","15.8","100"
"4",2019-03-25 04:00:00,"0.0","965.4","15.5","99"
"5",2019-03-25 05:00:00,"0.0","966.4","15.6","99"
"6",2019-03-25 06:00:00,"0.0","966.8","15.9","99"
"7",2019-03-25 07:00:00,"0.0","967.0","16.3","100"
"8",2019-03-25 08:00:00,"0.0","967.8","16.6","100"
"9",2019-03-25 09:00:00,"0.0","967.9","18.1","98"
"10",2019-03-25 10:00:00,"0.0","968.4","20.7","87"
"11",2019-03-25 11:00:00,"0.0","968.4","21.3","82"
"12",2019-03-25 12:00:00,"0.0","967.8","21.8","79"
"13",2019-03-25 13:00:00,"0.0","967.4","22.8","72"
"14",2019-03-25 14:00:00,"0.0","966.8","23.1","74"
"15",2019-03-25 15:00:00,"0.0","966.7","23.2","75"
"16",2019-03-25 16:00:00,"0.0","966.3","23.6","72"
"17",2019-03-25 17:00:00,"0.0","966.0","23.1","77"
"18",2019-03-25 18:00:00,"0.0","966.2","22.5","88"
"19",2019-03-25 19:00:00,"0.0","966.4","20.7","93"
"20",2019-03-25 20:00:00,"0.0","967.2","19.3","94"
"21",2019-03-25 21:00:00,"0.0","967.9","18.9","93"
"22",2019-03-25 22:00:00,"0.0","968.1","18.7","91"
"23",2019-03-25 23:00:00,"0.0","968.0","17.6","97"
"24",2019-03-26 00:00:00,"0.0","967.7","17.9","87"
