"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.0","17.6","99"
"2",2019-03-25 02:00:00,"0.0","1010.7","17.5","100"
"3",2019-03-25 03:00:00,"0.0","1010.7","17.3","100"
"4",2019-03-25 04:00:00,"0.0","1010.2","17.2","100"
"5",2019-03-25 05:00:00,"0.0","1011.1","16.8","100"
"6",2019-03-25 06:00:00,"0.0","1011.8","16.8","100"
"7",2019-03-25 07:00:00,"0.0","1012.5","17.5","100"
"8",2019-03-25 08:00:00,"0.0","1012.6","20.1","97"
"9",2019-03-25 09:00:00,"0.0","1013.2","23.4","74"
"10",2019-03-25 10:00:00,"0.0","1013.1","24.4","69"
"11",2019-03-25 11:00:00,"0.0","/","/","/"
"12",2019-03-25 12:00:00,"0.0","1012.1","27.7","58"
"13",2019-03-25 13:00:00,"0.0","1011.2","28.4","54"
"14",2019-03-25 14:00:00,"0.0","1010.5","28.6","54"
"15",2019-03-25 15:00:00,"0.0","1010.0","28.6","55"
"16",2019-03-25 16:00:00,"0.0","1009.7","28.7","55"
"17",2019-03-25 17:00:00,"0.0","1009.4","28.5","54"
"18",2019-03-25 18:00:00,"0.0","1009.6","27.5","58"
"19",2019-03-25 19:00:00,"0.0","1010.3","26.0","65"
"20",2019-03-25 20:00:00,"0.0","1011.1","24.4","73"
"21",2019-03-25 21:00:00,"0.0","1011.7","23.4","80"
"22",2019-03-25 22:00:00,"0.0","1012.1","21.9","86"
"23",2019-03-25 23:00:00,"0.0","1012.1","21.0","91"
"24",2019-03-26 00:00:00,"0.0","1012.2","20.1","94"
