"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1015.6","20.8","90"
"2",2019-03-25 02:00:00,"0.0","1014.6","20.8","89"
"3",2019-03-25 03:00:00,"0.0","1014.1","20.9","89"
"4",2019-03-25 04:00:00,"0.0","1014.2","20.7","89"
"5",2019-03-25 05:00:00,"0.0","1014.7","20.3","92"
"6",2019-03-25 06:00:00,"0.0","1015.3","20.9","89"
"7",2019-03-25 07:00:00,"0.0","1016.1","21.3","86"
"8",2019-03-25 08:00:00,"0.0","1016.5","22.4","81"
"9",2019-03-25 09:00:00,"0.0","1016.8","23.7","76"
"10",2019-03-25 10:00:00,"0.0","1016.9","25.5","72"
"11",2019-03-25 11:00:00,"0.0","1016.8","25.8","72"
"12",2019-03-25 12:00:00,"0.0","1016.1","26.7","72"
"13",2019-03-25 13:00:00,"X","1015.3","27.7","69"
"14",2019-03-25 14:00:00,"0.0","1014.8","27.6","70"
"15",2019-03-25 15:00:00,"0.0","1014.3","26.8","75"
"16",2019-03-25 16:00:00,"0.0","1013.8","27.0","75"
"17",2019-03-25 17:00:00,"0.0","1013.7","27.5","67"
"18",2019-03-25 18:00:00,"0.0","1014.1","26.4","70"
"19",2019-03-25 19:00:00,"0.0","1014.5","25.5","73"
"20",2019-03-25 20:00:00,"0.0","1015.0","24.6","79"
"21",2019-03-25 21:00:00,"0.0","1015.7","23.7","80"
"22",2019-03-25 22:00:00,"0.0","1016.1","23.5","81"
"23",2019-03-25 23:00:00,"0.0","1016.0","23.1","84"
"24",2019-03-26 00:00:00,"0.0","1016.0","22.8","86"
