"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.1","21.0","71"
"2",2019-03-25 02:00:00,"0.0","1010.5","21.3","71"
"3",2019-03-25 03:00:00,"0.0","1010.5","21.4","70"
"4",2019-03-25 04:00:00,"0.0","1010.5","20.4","73"
"5",2019-03-25 05:00:00,"0.0","1010.7","20.4","72"
"6",2019-03-25 06:00:00,"0.0","1011.1","20.5","71"
"7",2019-03-25 07:00:00,"0.0","1011.8","21.2","70"
"8",2019-03-25 08:00:00,"0.0","1012.7","21.8","70"
"9",2019-03-25 09:00:00,"0.0","1012.8","21.9","72"
"10",2019-03-25 10:00:00,"0.0","1013.1","22.7","71"
"11",2019-03-25 11:00:00,"0.0","1012.9","23.0","70"
"12",2019-03-25 12:00:00,"0.0","1012.8","23.7","70"
"13",2019-03-25 13:00:00,"0.0","1012.3","22.8","70"
"14",2019-03-25 14:00:00,"0.0","1011.3","22.5","71"
"15",2019-03-25 15:00:00,"0.0","1010.8","21.7","72"
"16",2019-03-25 16:00:00,"0.0","1010.9","21.6","71"
"17",2019-03-25 17:00:00,"0.0","1010.7","21.8","71"
"18",2019-03-25 18:00:00,"0.0","1011.0","21.4","71"
"19",2019-03-25 19:00:00,"0.0","1011.2","21.9","70"
"20",2019-03-25 20:00:00,"0.0","1011.6","22.5","69"
"21",2019-03-25 21:00:00,"0.0","1012.4","22.4","71"
"22",2019-03-25 22:00:00,"0.0","1012.6","22.6","70"
"23",2019-03-25 23:00:00,"0.0","1012.7","22.8","68"
"24",2019-03-26 00:00:00,"0.0","1012.8","22.7","68"
