"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","907.7","13.8","96"
"2",2019-03-25 02:00:00,"0.0","907.1","13.5","96"
"3",2019-03-25 03:00:00,"0.0","907.0","13.3","96"
"4",2019-03-25 04:00:00,"0.0","906.7","13.6","96"
"5",2019-03-25 05:00:00,"0.0","907.2","13.9","95"
"6",2019-03-25 06:00:00,"0.0","907.8","14.0","95"
"7",2019-03-25 07:00:00,"0.0","908.3","14.5","94"
"8",2019-03-25 08:00:00,"0.0","909.2","15.1","94"
"9",2019-03-25 09:00:00,"0.0","909.2","17.1","86"
"10",2019-03-25 10:00:00,"0.0","909.5","18.9","75"
"11",2019-03-25 11:00:00,"0.0","909.7","18.6","74"
"12",2019-03-25 12:00:00,"0.0","909.3","18.4","74"
"13",2019-03-25 13:00:00,"0.0","909.3","18.5","73"
"14",2019-03-25 14:00:00,"0.0","908.8","18.5","76"
"15",2019-03-25 15:00:00,"0.0","908.6","19.3","74"
"16",2019-03-25 16:00:00,"0.0","908.7","19.7","73"
"17",2019-03-25 17:00:00,"0.0","908.3","19.2","78"
"18",2019-03-25 18:00:00,"0.0","908.5","18.9","77"
"19",2019-03-25 19:00:00,"0.0","908.6","17.7","80"
"20",2019-03-25 20:00:00,"0.0","909.2","16.6","72"
"21",2019-03-25 21:00:00,"0.0","909.8","16.0","72"
"22",2019-03-25 22:00:00,"0.0","910.0","16.1","68"
"23",2019-03-25 23:00:00,"0.0","909.8","14.6","78"
"24",2019-03-26 00:00:00,"0.0","909.5","14.7","72"
