"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","979.5","16.1","100"
"2",2019-03-25 02:00:00,"0.0","978.8","16.2","100"
"3",2019-03-25 03:00:00,"0.0","979.1","16.1","100"
"4",2019-03-25 04:00:00,"0.0","979.3","16.6","100"
"5",2019-03-25 05:00:00,"0.0","979.9","16.7","100"
"6",2019-03-25 06:00:00,"0.0","980.0","16.7","100"
"7",2019-03-25 07:00:00,"0.0","979.9","17.0","100"
"8",2019-03-25 08:00:00,"0.0","981.2","17.4","100"
"9",2019-03-25 09:00:00,"0.0","981.3","18.4","99"
"10",2019-03-25 10:00:00,"0.0","982.5","18.1","100"
"11",2019-03-25 11:00:00,"2.5","982.1","18.3","100"
"12",2019-03-25 12:00:00,"0.0","981.9","18.6","100"
"13",2019-03-25 13:00:00,"0.0","981.6","18.4","100"
"14",2019-03-25 14:00:00,"7.5","981.9","17.1","100"
"15",2019-03-25 15:00:00,"4.0","981.1","17.2","100"
"16",2019-03-25 16:00:00,"1.0","980.8","18.0","100"
"17",2019-03-25 17:00:00,"0.0","980.2","18.4","100"
"18",2019-03-25 18:00:00,"0.0","980.6","18.3","100"
"19",2019-03-25 19:00:00,"0.0","981.0","17.2","100"
"20",2019-03-25 20:00:00,"0.0","981.3","16.5","100"
"21",2019-03-25 21:00:00,"0.0","982.0","16.9","100"
"22",2019-03-25 22:00:00,"0.0","982.4","16.8","100"
"23",2019-03-25 23:00:00,"0.0","982.4","16.8","100"
"24",2019-03-26 00:00:00,"0.0","982.3","16.8","100"
