"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1003.8","18.1","100"
"2",2019-03-25 02:00:00,"0.0","1002.8","18.3","100"
"3",2019-03-25 03:00:00,"0.0","1003.3","17.6","100"
"4",2019-03-25 04:00:00,"0.0","1003.6","18.0","100"
"5",2019-03-25 05:00:00,"0.0","1003.9","18.3","100"
"6",2019-03-25 06:00:00,"0.0","1004.0","18.7","100"
"7",2019-03-25 07:00:00,"0.0","1004.5","19.3","100"
"8",2019-03-25 08:00:00,"0.0","1005.2","19.7","99"
"9",2019-03-25 09:00:00,"0.0","1006.1","19.8","100"
"10",2019-03-25 10:00:00,"1.5","1006.3","19.6","100"
"11",2019-03-25 11:00:00,"0.0","1006.1","19.8","100"
"12",2019-03-25 12:00:00,"0.5","1006.6","19.9","100"
"13",2019-03-25 13:00:00,"1.0","1006.4","17.4","100"
"14",2019-03-25 14:00:00,"4.5","1005.0","17.3","100"
"15",2019-03-25 15:00:00,"0.0","1004.7","19.4","100"
"16",2019-03-25 16:00:00,"0.0","1004.9","20.1","99"
"17",2019-03-25 17:00:00,"0.0","1004.5","20.3","99"
"18",2019-03-25 18:00:00,"0.0","1004.6","19.9","100"
"19",2019-03-25 19:00:00,"0.0","1004.9","19.6","100"
"20",2019-03-25 20:00:00,"0.0","1005.3","19.2","100"
"21",2019-03-25 21:00:00,"0.0","1005.8","18.4","100"
"22",2019-03-25 22:00:00,"0.0","1006.4","18.4","100"
"23",2019-03-25 23:00:00,"0.0","1006.2","18.6","100"
"24",2019-03-26 00:00:00,"0.0","1006.3","19.2","99"
