"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","/","/","/"
"2",2019-03-25 02:00:00,"0.0","997.3","18.2","95"
"3",2019-03-25 03:00:00,"0.0","/","/","/"
"4",2019-03-25 04:00:00,"0.0","997.8","18.0","97"
"5",2019-03-25 05:00:00,"0.0","998.4","18.3","95"
"6",2019-03-25 06:00:00,"0.0","998.7","18.4","93"
"7",2019-03-25 07:00:00,"0.0","998.5","18.7","91"
"8",2019-03-25 08:00:00,"0.0","999.2","19.7","86"
"9",2019-03-25 09:00:00,"0.0","1000.0","19.9","85"
"10",2019-03-25 10:00:00,"0.0","1001.0","20.1","85"
"11",2019-03-25 11:00:00,"0.5","1000.4","19.9","89"
"12",2019-03-25 12:00:00,"0.0","1000.4","20.1","90"
"13",2019-03-25 13:00:00,"0.5","1000.0","20.1","91"
"14",2019-03-25 14:00:00,"3.0","999.5","18.1","94"
"15",2019-03-25 15:00:00,"0.0","998.8","19.9","95"
"16",2019-03-25 16:00:00,"0.0","998.8","21.3","85"
"17",2019-03-25 17:00:00,"0.0","998.3","21.5","84"
"18",2019-03-25 18:00:00,"0.0","998.4","21.4","83"
"19",2019-03-25 19:00:00,"0.0","998.8","20.2","88"
"20",2019-03-25 20:00:00,"0.0","999.2","19.8","89"
"21",2019-03-25 21:00:00,"0.0","999.9","19.5","93"
"22",2019-03-25 22:00:00,"0.0","/","/","/"
"23",2019-03-25 23:00:00,"0.0","1000.0","18.7","96"
"24",2019-03-26 00:00:00,"0.0","1000.1","18.1","95"
