"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.4","17.5","99"
"2",2019-03-25 02:00:00,"0.0","1010.4","17.5","99"
"3",2019-03-25 03:00:00,"0.0","1010.4","16.9","99"
"4",2019-03-25 04:00:00,"0.0","1010.7","16.6","99"
"5",2019-03-25 05:00:00,"0.0","1011.5","17.0","99"
"6",2019-03-25 06:00:00,"0.0","1011.5","17.0","99"
"7",2019-03-25 07:00:00,"0.0","1011.6","17.5","99"
"8",2019-03-25 08:00:00,"0.0","1012.5","18.3","99"
"9",2019-03-25 09:00:00,"0.0","1013.2","19.4","99"
"10",2019-03-25 10:00:00,"0.0","1013.3","20.6","97"
"11",2019-03-25 11:00:00,"0.0","1013.6","19.9","99"
"12",2019-03-25 12:00:00,"0.0","1013.3","20.3","99"
"13",2019-03-25 13:00:00,"0.0","1012.6","21.0","94"
"14",2019-03-25 14:00:00,"0.0","1011.8","21.1","92"
"15",2019-03-25 15:00:00,"0.0","1011.3","20.5","97"
"16",2019-03-25 16:00:00,"0.0","1011.2","21.2","95"
"17",2019-03-25 17:00:00,"0.0","1011.1","21.0","96"
"18",2019-03-25 18:00:00,"0.0","1011.1","21.2","97"
"19",2019-03-25 19:00:00,"0.0","1011.3","20.4","99"
"20",2019-03-25 20:00:00,"0.0","1012.0","19.8","99"
"21",2019-03-25 21:00:00,"0.0","1012.6","19.3","99"
"22",2019-03-25 22:00:00,"0.0","1012.8","19.0","99"
"23",2019-03-25 23:00:00,"0.0","1012.9","18.6","99"
"24",2019-03-26 00:00:00,"0.0","1013.0","18.4","99"
