"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","974.5","16.1","100"
"2",2019-03-25 02:00:00,"0.0","973.4","15.5","100"
"3",2019-03-25 03:00:00,"0.0","973.4","16.3","90"
"4",2019-03-25 04:00:00,"0.0","973.2","15.7","95"
"5",2019-03-25 05:00:00,"0.0","973.7","16.2","93"
"6",2019-03-25 06:00:00,"0.0","973.9","16.3","94"
"7",2019-03-25 07:00:00,"0.0","974.4","16.5","97"
"8",2019-03-25 08:00:00,"0.0","975.5","16.9","98"
"9",2019-03-25 09:00:00,"5.0","975.0","16.6","100"
"10",2019-03-25 10:00:00,"0.5","975.3","17.3","100"
"11",2019-03-25 11:00:00,"1.0","976.0","17.6","100"
"12",2019-03-25 12:00:00,"0.0","975.4","17.5","100"
"13",2019-03-25 13:00:00,"4.5","975.3","16.5","100"
"14",2019-03-25 14:00:00,"3.0","975.0","17.7","100"
"15",2019-03-25 15:00:00,"0.0","974.6","17.2","100"
"16",2019-03-25 16:00:00,"X","974.8","16.3","100"
"17",2019-03-25 17:00:00,"0.0","974.7","15.7","100"
"18",2019-03-25 18:00:00,"0.0","975.0","15.4","100"
"19",2019-03-25 19:00:00,"0.0","/","/","/"
"20",2019-03-25 20:00:00,"0.0","976.3","15.4","99"
"21",2019-03-25 21:00:00,"0.0","/","/","/"
"22",2019-03-25 22:00:00,"0.0","977.6","15.6","100"
"23",2019-03-25 23:00:00,"0.0","978.0","15.1","100"
"24",2019-03-26 00:00:00,"0.0","978.2","14.8","100"
