"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.9","18.5","96"
"2",2019-03-25 02:00:00,"0.0","1012.0","18.9","96"
"3",2019-03-25 03:00:00,"0.0","1011.6","18.6","96"
"4",2019-03-25 04:00:00,"0.0","1011.6","18.2","96"
"5",2019-03-25 05:00:00,"0.0","1012.2","18.0","96"
"6",2019-03-25 06:00:00,"0.0","1012.9","18.0","96"
"7",2019-03-25 07:00:00,"0.0","1013.5","18.6","96"
"8",2019-03-25 08:00:00,"0.0","1014.0","20.0","99"
"9",2019-03-25 09:00:00,"0.0","1014.3","22.6","74"
"10",2019-03-25 10:00:00,"0.0","1014.3","24.8","62"
"11",2019-03-25 11:00:00,"0.0","1014.2","25.8","60"
"12",2019-03-25 12:00:00,"0.0","1013.4","26.9","57"
"13",2019-03-25 13:00:00,"0.0","1012.7","27.5","56"
"14",2019-03-25 14:00:00,"0.0","1012.1","28.2","56"
"15",2019-03-25 15:00:00,"0.0","1011.6","27.7","56"
"16",2019-03-25 16:00:00,"0.0","1011.2","27.4","57"
"17",2019-03-25 17:00:00,"0.0","1011.2","26.8","60"
"18",2019-03-25 18:00:00,"0.0","1011.5","25.3","65"
"19",2019-03-25 19:00:00,"0.0","1012.0","23.9","74"
"20",2019-03-25 20:00:00,"0.0","1012.6","22.6","86"
"21",2019-03-25 21:00:00,"0.0","1013.3","21.8","99"
"22",2019-03-25 22:00:00,"0.0","1013.6","21.4","99"
"23",2019-03-25 23:00:00,"0.0","1013.5","20.9","99"
"24",2019-03-26 00:00:00,"0.0","1013.6","20.3","99"
