"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","895.1","12.3","96"
"2",2019-03-25 02:00:00,"0.0","894.0","12.1","96"
"3",2019-03-25 03:00:00,"0.0","894.1","12.2","96"
"4",2019-03-25 04:00:00,"0.0","893.9","12.4","96"
"5",2019-03-25 05:00:00,"0.0","894.3","12.2","96"
"6",2019-03-25 06:00:00,"0.0","894.3","12.4","96"
"7",2019-03-25 07:00:00,"0.0","894.8","12.4","96"
"8",2019-03-25 08:00:00,"0.5","895.8","12.3","96"
"9",2019-03-25 09:00:00,"5.0","895.8","13.6","99"
"10",2019-03-25 10:00:00,"1.0","896.2","13.5","99"
"11",2019-03-25 11:00:00,"1.0","896.3","13.7","99"
"12",2019-03-25 12:00:00,"0.0","895.8","13.8","99"
"13",2019-03-25 13:00:00,"4.0","895.2","13.8","99"
"14",2019-03-25 14:00:00,"2.0","895.2","13.2","99"
"15",2019-03-25 15:00:00,"0.0","894.8","13.0","99"
"16",2019-03-25 16:00:00,"0.0","894.8","12.8","99"
"17",2019-03-25 17:00:00,"0.0","894.9","12.9","99"
"18",2019-03-25 18:00:00,"0.5","894.8","12.8","99"
"19",2019-03-25 19:00:00,"0.0","895.6","13.3","99"
"20",2019-03-25 20:00:00,"0.0","896.2","12.8","99"
"21",2019-03-25 21:00:00,"0.0","896.9","13.1","99"
"22",2019-03-25 22:00:00,"0.5","897.2","13.2","99"
"23",2019-03-25 23:00:00,"0.0","897.6","12.2","99"
"24",2019-03-26 00:00:00,"0.0","897.6","11.4","99"
