"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.7","18.0","93"
"2",2019-03-25 02:00:00,"0.0","1012.6","17.8","93"
"3",2019-03-25 03:00:00,"0.0","1012.5","17.6","91"
"4",2019-03-25 04:00:00,"0.0","1012.6","17.7","90"
"5",2019-03-25 05:00:00,"0.0","1013.1","17.7","91"
"6",2019-03-25 06:00:00,"0.0","1013.4","18.0","91"
"7",2019-03-25 07:00:00,"0.0","1013.7","18.1","90"
"8",2019-03-25 08:00:00,"0.0","1014.8","18.6","88"
"9",2019-03-25 09:00:00,"3.0","1014.8","18.5","93"
"10",2019-03-25 10:00:00,"1.0","1015.3","18.7","94"
"11",2019-03-25 11:00:00,"2.5","1015.5","18.9","95"
"12",2019-03-25 12:00:00,"0.0","1014.8","19.1","95"
"13",2019-03-25 13:00:00,"5.0","1014.5","18.2","95"
"14",2019-03-25 14:00:00,"7.0","1014.7","18.3","96"
"15",2019-03-25 15:00:00,"0.0","1014.2","18.7","94"
"16",2019-03-25 16:00:00,"0.0","1014.3","18.0","94"
"17",2019-03-25 17:00:00,"0.0","1014.1","18.1","93"
"18",2019-03-25 18:00:00,"0.0","1014.6","18.2","91"
"19",2019-03-25 19:00:00,"0.0","1015.1","18.2","92"
"20",2019-03-25 20:00:00,"0.0","1015.6","18.3","92"
"21",2019-03-25 21:00:00,"0.0","1016.5","18.5","91"
"22",2019-03-25 22:00:00,"0.0","1017.1","18.4","91"
"23",2019-03-25 23:00:00,"0.0","1017.3","18.1","94"
"24",2019-03-26 00:00:00,"0.0","1017.4","17.7","95"
