"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.1","16.7","99"
"2",2019-03-25 02:00:00,"0.0","1013.4","16.5","99"
"3",2019-03-25 03:00:00,"0.0","1012.8","16.9","99"
"4",2019-03-25 04:00:00,"0.0","1012.3","16.4","99"
"5",2019-03-25 05:00:00,"0.0","1012.4","16.5","99"
"6",2019-03-25 06:00:00,"0.0","1012.8","16.0","99"
"7",2019-03-25 07:00:00,"0.0","1013.2","16.8","99"
"8",2019-03-25 08:00:00,"0.0","1013.4","19.4","99"
"9",2019-03-25 09:00:00,"0.0","1013.4","22.0","79"
"10",2019-03-25 10:00:00,"0.0","1013.1","24.1","71"
"11",2019-03-25 11:00:00,"0.0","1013.0","24.9","66"
"12",2019-03-25 12:00:00,"0.0","1013.1","24.4","65"
"13",2019-03-25 13:00:00,"0.0","1012.1","23.9","70"
"14",2019-03-25 14:00:00,"0.0","1011.3","25.0","62"
"15",2019-03-25 15:00:00,"0.0","1011.6","23.8","71"
"16",2019-03-25 16:00:00,"0.0","1012.1","22.3","97"
"17",2019-03-25 17:00:00,"0.0","1011.8","22.2","99"
"18",2019-03-25 18:00:00,"0.0","1012.1","20.8","99"
"19",2019-03-25 19:00:00,"0.0","1012.5","19.3","99"
"20",2019-03-25 20:00:00,"0.0","1013.7","18.4","99"
"21",2019-03-25 21:00:00,"0.0","1014.7","18.8","99"
"22",2019-03-25 22:00:00,"0.0","1015.3","19.1","99"
"23",2019-03-25 23:00:00,"0.0","1015.6","19.3","99"
"24",2019-03-26 00:00:00,"0.0","1016.0","19.3","99"
