"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.5","1008.3","17.0","95"
"2",2019-03-25 02:00:00,"0.0","1007.4","16.9","96"
"3",2019-03-25 03:00:00,"0.0","1007.8","17.0","95"
"4",2019-03-25 04:00:00,"0.0","1008.2","17.3","95"
"5",2019-03-25 05:00:00,"0.0","1008.4","17.8","92"
"6",2019-03-25 06:00:00,"0.0","1008.4","17.8","94"
"7",2019-03-25 07:00:00,"0.0","1009.1","17.7","94"
"8",2019-03-25 08:00:00,"0.0","1010.1","18.4","93"
"9",2019-03-25 09:00:00,"0.0","1010.5","18.3","93"
"10",2019-03-25 10:00:00,"6.5","1010.8","18.2","96"
"11",2019-03-25 11:00:00,"0.5","1010.6","19.0","94"
"12",2019-03-25 12:00:00,"4.0","1010.9","17.7","95"
"13",2019-03-25 13:00:00,"6.0","1010.0","16.6","96"
"14",2019-03-25 14:00:00,"9.0","1009.8","17.1","97"
"15",2019-03-25 15:00:00,"0.5","1009.9","17.6","94"
"16",2019-03-25 16:00:00,"0.0","1009.5","17.5","93"
"17",2019-03-25 17:00:00,"0.5","1009.1","17.9","92"
"18",2019-03-25 18:00:00,"0.0","1009.6","18.1","92"
"19",2019-03-25 19:00:00,"0.0","1010.1","18.1","92"
"20",2019-03-25 20:00:00,"0.0","1010.5","18.3","92"
"21",2019-03-25 21:00:00,"0.0","1011.3","18.3","92"
"22",2019-03-25 22:00:00,"0.0","1011.7","18.2","92"
"23",2019-03-25 23:00:00,"0.0","1011.8","18.2","93"
"24",2019-03-26 00:00:00,"0.0","1011.8","18.3","91"
