"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1009.2","17.4","99"
"2",2019-03-25 02:00:00,"0.0","1008.2","17.4","99"
"3",2019-03-25 03:00:00,"0.0","1008.0","17.4","99"
"4",2019-03-25 04:00:00,"0.0","1008.7","17.0","99"
"5",2019-03-25 05:00:00,"0.0","1009.6","16.9","99"
"6",2019-03-25 06:00:00,"0.0","1009.5","17.1","99"
"7",2019-03-25 07:00:00,"0.0","1009.4","17.5","99"
"8",2019-03-25 08:00:00,"0.0","1010.2","18.5","99"
"9",2019-03-25 09:00:00,"0.0","1011.0","20.8","88"
"10",2019-03-25 10:00:00,"0.0","1011.3","21.3","89"
"11",2019-03-25 11:00:00,"0.0","1011.4","20.2","99"
"12",2019-03-25 12:00:00,"0.0","1011.2","20.4","99"
"13",2019-03-25 13:00:00,"0.0","1010.5","21.2","96"
"14",2019-03-25 14:00:00,"0.0","1009.8","20.6","99"
"15",2019-03-25 15:00:00,"0.0","1009.2","20.0","99"
"16",2019-03-25 16:00:00,"0.0","1009.1","21.6","95"
"17",2019-03-25 17:00:00,"0.0","1009.2","21.4","97"
"18",2019-03-25 18:00:00,"0.0","1008.9","21.7","93"
"19",2019-03-25 19:00:00,"0.0","1009.2","20.8","99"
"20",2019-03-25 20:00:00,"0.0","1009.8","19.8","99"
"21",2019-03-25 21:00:00,"0.0","1010.5","19.3","99"
"22",2019-03-25 22:00:00,"0.0","1010.8","18.8","99"
"23",2019-03-25 23:00:00,"0.0","1010.8","18.5","99"
"24",2019-03-26 00:00:00,"0.0","1011.0","18.3","99"
