"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1004.6","16.3","99"
"2",2019-03-25 02:00:00,"0.0","1003.7","16.1","99"
"3",2019-03-25 03:00:00,"0.0","1004.3","16.2","99"
"4",2019-03-25 04:00:00,"0.0","1004.6","16.4","99"
"5",2019-03-25 05:00:00,"0.0","1004.8","16.5","99"
"6",2019-03-25 06:00:00,"0.0","1004.6","16.7","99"
"7",2019-03-25 07:00:00,"0.0","1005.5","16.9","99"
"8",2019-03-25 08:00:00,"0.0","1006.5","17.2","99"
"9",2019-03-25 09:00:00,"0.0","1006.5","17.6","99"
"10",2019-03-25 10:00:00,"0.0","1007.5","18.0","99"
"11",2019-03-25 11:00:00,"0.0","1006.6","18.9","99"
"12",2019-03-25 12:00:00,"0.0","/","/","/"
"13",2019-03-25 13:00:00,"0.0","/","/","/"
"14",2019-03-25 14:00:00,"0.0","/","/","/"
"15",2019-03-25 15:00:00,"X","/","/","/"
"16",2019-03-25 16:00:00,"X","/","/","/"
"17",2019-03-25 17:00:00,"X","/","/","/"
"18",2019-03-25 18:00:00,"X","/","/","/"
"19",2019-03-25 19:00:00,"0.0","1006.4","17.7","97"
"20",2019-03-25 20:00:00,"0.0","1006.7","17.6","97"
"21",2019-03-25 21:00:00,"0.0","1007.6","17.7","98"
"22",2019-03-25 22:00:00,"0.0","1007.9","17.8","97"
"23",2019-03-25 23:00:00,"0.0","1008.1","17.9","97"
"24",2019-03-26 00:00:00,"0.0","1008.0","17.9","96"
