"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.7","17.7","97"
"2",2019-03-25 02:00:00,"0.0","1012.6","17.5","97"
"3",2019-03-25 03:00:00,"0.0","1013.0","17.3","97"
"4",2019-03-25 04:00:00,"0.0","1013.2","17.3","97"
"5",2019-03-25 05:00:00,"0.0","1013.8","18.7","97"
"6",2019-03-25 06:00:00,"0.0","1013.8","17.7","97"
"7",2019-03-25 07:00:00,"0.0","1014.0","18.3","97"
"8",2019-03-25 08:00:00,"0.0","1015.1","19.3","96"
"9",2019-03-25 09:00:00,"0.0","1015.9","19.6","95"
"10",2019-03-25 10:00:00,"0.5","1015.6","20.2","96"
"11",2019-03-25 11:00:00,"0.0","1015.9","20.0","96"
"12",2019-03-25 12:00:00,"0.5","1016.0","19.6","96"
"13",2019-03-25 13:00:00,"0.0","1015.3","18.7","96"
"14",2019-03-25 14:00:00,"0.0","1014.6","18.2","96"
"15",2019-03-25 15:00:00,"0.0","1014.4","18.8","96"
"16",2019-03-25 16:00:00,"0.0","1014.0","20.2","96"
"17",2019-03-25 17:00:00,"0.0","1013.8","21.1","94"
"18",2019-03-25 18:00:00,"0.0","1013.7","20.8","95"
"19",2019-03-25 19:00:00,"0.0","1014.0","20.3","96"
"20",2019-03-25 20:00:00,"0.0","1014.6","19.8","96"
"21",2019-03-25 21:00:00,"0.0","1015.3","19.2","96"
"22",2019-03-25 22:00:00,"0.0","1015.5","18.8","97"
"23",2019-03-25 23:00:00,"0.0","1015.6","19.1","97"
"24",2019-03-26 00:00:00,"0.0","1015.7","18.6","97"
