"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1005.6","17.8","100"
"2",2019-03-25 02:00:00,"0.0","1004.9","17.8","100"
"3",2019-03-25 03:00:00,"0.0","1004.3","18.1","100"
"4",2019-03-25 04:00:00,"0.0","1005.1","17.7","100"
"5",2019-03-25 05:00:00,"0.0","1005.9","17.5","100"
"6",2019-03-25 06:00:00,"0.0","1006.1","17.8","100"
"7",2019-03-25 07:00:00,"0.0","1005.9","19.5","100"
"8",2019-03-25 08:00:00,"0.0","1006.4","20.3","100"
"9",2019-03-25 09:00:00,"0.0","1007.6","20.9","100"
"10",2019-03-25 10:00:00,"0.0","1008.0","21.3","99"
"11",2019-03-25 11:00:00,"0.0","1008.0","20.8","100"
"12",2019-03-25 12:00:00,"0.0","1007.8","20.1","100"
"13",2019-03-25 13:00:00,"0.0","1007.4","20.4","100"
"14",2019-03-25 14:00:00,"0.0","1006.7","20.3","100"
"15",2019-03-25 15:00:00,"0.5","1005.7","21.0","100"
"16",2019-03-25 16:00:00,"0.0","1005.6","22.3","99"
"17",2019-03-25 17:00:00,"0.0","1005.7","23.0","98"
"18",2019-03-25 18:00:00,"0.0","1005.8","22.5","100"
"19",2019-03-25 19:00:00,"0.0","1006.1","21.3","100"
"20",2019-03-25 20:00:00,"0.0","1006.4","20.6","100"
"21",2019-03-25 21:00:00,"0.0","1007.1","19.9","100"
"22",2019-03-25 22:00:00,"0.0","1007.5","19.2","100"
"23",2019-03-25 23:00:00,"0.0","1007.3","18.9","100"
"24",2019-03-26 00:00:00,"0.0","1007.4","18.4","100"
