"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.4","18.4","90"
"2",2019-03-25 02:00:00,"0.0","1011.3","18.1","92"
"3",2019-03-25 03:00:00,"0.0","1011.0","17.9","92"
"4",2019-03-25 04:00:00,"0.0","1010.9","18.1","92"
"5",2019-03-25 05:00:00,"0.0","1011.5","18.6","89"
"6",2019-03-25 06:00:00,"0.0","1012.1","18.9","87"
"7",2019-03-25 07:00:00,"0.0","1012.8","19.1","88"
"8",2019-03-25 08:00:00,"0.0","1013.3","21.5","75"
"9",2019-03-25 09:00:00,"0.0","1013.5","22.9","68"
"10",2019-03-25 10:00:00,"0.0","1013.5","25.0","61"
"11",2019-03-25 11:00:00,"X","1013.4","26.5","56"
"12",2019-03-25 12:00:00,"0.0","1012.6","27.5","55"
"13",2019-03-25 13:00:00,"0.0","1011.9","27.6","55"
"14",2019-03-25 14:00:00,"0.0","1011.3","28.7","53"
"15",2019-03-25 15:00:00,"0.0","1010.7","28.1","56"
"16",2019-03-25 16:00:00,"0.0","1010.4","27.8","55"
"17",2019-03-25 17:00:00,"0.0","1010.3","27.2","56"
"18",2019-03-25 18:00:00,"0.0","1010.7","25.7","60"
"19",2019-03-25 19:00:00,"0.0","1011.0","24.5","65"
"20",2019-03-25 20:00:00,"0.0","1011.7","23.1","74"
"21",2019-03-25 21:00:00,"0.0","1012.6","22.3","76"
"22",2019-03-25 22:00:00,"0.0","1012.8","21.9","79"
"23",2019-03-25 23:00:00,"0.0","1012.7","21.4","82"
"24",2019-03-26 00:00:00,"X","1012.8","20.8","86"
