"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"X","989.0","17.3","100"
"2",2019-03-25 02:00:00,"X","988.1","17.3","100"
"3",2019-03-25 03:00:00,"0.0","/","/","/"
"4",2019-03-25 04:00:00,"0.0","989.0","17.2","100"
"5",2019-03-25 05:00:00,"0.0","989.3","17.5","100"
"6",2019-03-25 06:00:00,"0.0","989.6","17.8","100"
"7",2019-03-25 07:00:00,"0.0","989.5","18.5","97"
"8",2019-03-25 08:00:00,"0.0","990.3","19.1","93"
"9",2019-03-25 09:00:00,"0.0","991.1","18.6","99"
"10",2019-03-25 10:00:00,"0.0","992.0","18.6","100"
"11",2019-03-25 11:00:00,"0.5","991.6","18.8","100"
"12",2019-03-25 12:00:00,"0.5","991.6","19.4","100"
"13",2019-03-25 13:00:00,"0.0","991.4","17.7","100"
"14",2019-03-25 14:00:00,"4.5","990.8","16.6","100"
"15",2019-03-25 15:00:00,"0.0","/","/","/"
"16",2019-03-25 16:00:00,"0.0","990.0","20.5","91"
"17",2019-03-25 17:00:00,"0.0","989.6","20.1","91"
"18",2019-03-25 18:00:00,"0.0","989.8","19.5","97"
"19",2019-03-25 19:00:00,"0.0","989.8","18.8","100"
"20",2019-03-25 20:00:00,"0.0","990.3","18.7","100"
"21",2019-03-25 21:00:00,"0.0","990.8","18.2","100"
"22",2019-03-25 22:00:00,"0.0","991.4","18.4","100"
"23",2019-03-25 23:00:00,"0.0","991.3","17.6","100"
"24",2019-03-26 00:00:00,"0.0","/","/","/"
