"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","869.9","12.8","96"
"2",2019-03-25 02:00:00,"0.0","869.4","12.6","97"
"3",2019-03-25 03:00:00,"0.0","869.2","12.7","97"
"4",2019-03-25 04:00:00,"0.0","869.1","13.2","97"
"5",2019-03-25 05:00:00,"0.0","869.6","12.5","99"
"6",2019-03-25 06:00:00,"0.0","870.0","12.5","99"
"7",2019-03-25 07:00:00,"0.0","870.4","14.0","95"
"8",2019-03-25 08:00:00,"0.0","871.6","14.8","90"
"9",2019-03-25 09:00:00,"0.0","871.7","17.3","78"
"10",2019-03-25 10:00:00,"0.0","872.0","17.8","76"
"11",2019-03-25 11:00:00,"0.0","872.2","15.9","91"
"12",2019-03-25 12:00:00,"0.0","872.0","16.4","85"
"13",2019-03-25 13:00:00,"0.0","871.8","15.8","90"
"14",2019-03-25 14:00:00,"0.0","871.2","16.2","93"
"15",2019-03-25 15:00:00,"0.0","871.2","16.5","89"
"16",2019-03-25 16:00:00,"0.0","871.4","17.3","85"
"17",2019-03-25 17:00:00,"0.0","871.2","17.0","83"
"18",2019-03-25 18:00:00,"0.0","871.1","16.5","81"
"19",2019-03-25 19:00:00,"0.0","871.3","14.7","84"
"20",2019-03-25 20:00:00,"0.0","871.6","14.7","82"
"21",2019-03-25 21:00:00,"0.0","872.2","13.7","90"
"22",2019-03-25 22:00:00,"0.0","872.4","13.1","85"
"23",2019-03-25 23:00:00,"0.0","872.2","13.5","81"
"24",2019-03-26 00:00:00,"0.0","871.9","13.1","81"
