"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1002.8","17.9","100"
"2",2019-03-25 02:00:00,"0.0","1002.0","17.8","100"
"3",2019-03-25 03:00:00,"0.0","1001.8","17.4","100"
"4",2019-03-25 04:00:00,"0.0","1002.3","17.2","100"
"5",2019-03-25 05:00:00,"0.0","1003.2","17.8","100"
"6",2019-03-25 06:00:00,"0.0","1003.2","17.9","100"
"7",2019-03-25 07:00:00,"0.0","1003.2","18.2","100"
"8",2019-03-25 08:00:00,"0.0","1004.0","19.1","98"
"9",2019-03-25 09:00:00,"0.0","1004.7","20.1","96"
"10",2019-03-25 10:00:00,"0.0","1005.5","19.5","97"
"11",2019-03-25 11:00:00,"1.0","1005.4","20.0","99"
"12",2019-03-25 12:00:00,"0.5","1005.2","20.0","96"
"13",2019-03-25 13:00:00,"0.0","1004.6","20.4","98"
"14",2019-03-25 14:00:00,"1.5","1003.7","19.3","99"
"15",2019-03-25 15:00:00,"0.5","1003.6","19.6","100"
"16",2019-03-25 16:00:00,"0.0","1003.4","20.5","99"
"17",2019-03-25 17:00:00,"0.0","1003.0","21.1","96"
"18",2019-03-25 18:00:00,"0.0","1003.0","20.5","95"
"19",2019-03-25 19:00:00,"0.0","1003.4","19.9","99"
"20",2019-03-25 20:00:00,"0.0","1003.9","19.2","100"
"21",2019-03-25 21:00:00,"0.0","1004.5","18.6","100"
"22",2019-03-25 22:00:00,"0.0","1005.0","18.3","100"
"23",2019-03-25 23:00:00,"0.0","1004.8","17.9","100"
"24",2019-03-26 00:00:00,"0.0","1005.0","17.7","100"
