"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","951.3","15.1","99"
"2",2019-03-25 02:00:00,"0.0","950.7","15.7","93"
"3",2019-03-25 03:00:00,"0.0","950.1","15.5","96"
"4",2019-03-25 04:00:00,"0.0","949.6","15.8","89"
"5",2019-03-25 05:00:00,"0.0","949.8","16.5","82"
"6",2019-03-25 06:00:00,"0.0","950.1","17.1","77"
"7",2019-03-25 07:00:00,"0.0","950.7","17.6","74"
"8",2019-03-25 08:00:00,"0.0","951.1","18.8","74"
"9",2019-03-25 09:00:00,"0.0","951.0","20.7","75"
"10",2019-03-25 10:00:00,"0.0","950.8","22.7","70"
"11",2019-03-25 11:00:00,"0.0","950.8","23.3","69"
"12",2019-03-25 12:00:00,"0.0","950.6","21.1","87"
"13",2019-03-25 13:00:00,"0.0","949.9","19.1","97"
"14",2019-03-25 14:00:00,"0.0","949.3","19.2","99"
"15",2019-03-25 15:00:00,"0.0","949.1","19.9","99"
"16",2019-03-25 16:00:00,"0.0","949.8","18.1","99"
"17",2019-03-25 17:00:00,"0.0","950.0","18.2","99"
"18",2019-03-25 18:00:00,"0.0","950.0","17.5","99"
"19",2019-03-25 19:00:00,"0.0","950.4","18.4","99"
"20",2019-03-25 20:00:00,"0.0","951.4","17.8","99"
"21",2019-03-25 21:00:00,"0.0","952.4","17.9","99"
"22",2019-03-25 22:00:00,"0.0","952.9","17.9","99"
"23",2019-03-25 23:00:00,"0.0","953.2","17.8","99"
"24",2019-03-26 00:00:00,"0.0","953.3","17.2","99"
