"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","989.7","16.7","98"
"2",2019-03-25 02:00:00,"0.0","988.1","16.6","97"
"3",2019-03-25 03:00:00,"0.0","988.8","17.0","95"
"4",2019-03-25 04:00:00,"0.0","988.3","17.2","93"
"5",2019-03-25 05:00:00,"0.0","988.9","18.1","88"
"6",2019-03-25 06:00:00,"0.0","989.0","18.1","89"
"7",2019-03-25 07:00:00,"0.0","989.6","17.9","91"
"8",2019-03-25 08:00:00,"1.5","991.0","17.2","99"
"9",2019-03-25 09:00:00,"5.0","990.2","17.5","99"
"10",2019-03-25 10:00:00,"0.0","991.1","17.3","99"
"11",2019-03-25 11:00:00,"1.5","991.5","17.4","99"
"12",2019-03-25 12:00:00,"0.5","991.1","16.9","99"
"13",2019-03-25 13:00:00,"5.5","990.4","16.5","99"
"14",2019-03-25 14:00:00,"0.5","990.5","16.4","99"
"15",2019-03-25 15:00:00,"0.5","990.3","16.1","99"
"16",2019-03-25 16:00:00,"0.0","/","/","/"
"17",2019-03-25 17:00:00,"0.5","990.5","15.8","99"
"18",2019-03-25 18:00:00,"1.0","990.8","15.7","99"
"19",2019-03-25 19:00:00,"0.5","991.0","15.7","99"
"20",2019-03-25 20:00:00,"0.0","992.0","15.8","99"
"21",2019-03-25 21:00:00,"0.0","992.8","16.0","99"
"22",2019-03-25 22:00:00,"0.0","993.1","15.8","99"
"23",2019-03-25 23:00:00,"0.0","993.6","15.5","99"
"24",2019-03-26 00:00:00,"0.0","993.7","15.1","99"
