"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.3","16.7","97"
"2",2019-03-25 02:00:00,"0.0","1013.2","17.1","97"
"3",2019-03-25 03:00:00,"0.0","1012.2","17.6","95"
"4",2019-03-25 04:00:00,"0.0","1012.5","17.0","95"
"5",2019-03-25 05:00:00,"0.0","1013.0","16.5","95"
"6",2019-03-25 06:00:00,"0.0","1013.4","16.6","95"
"7",2019-03-25 07:00:00,"0.0","1013.7","16.6","95"
"8",2019-03-25 08:00:00,"0.0","1014.5","17.5","94"
"9",2019-03-25 09:00:00,"0.0","1015.4","17.6","93"
"10",2019-03-25 10:00:00,"0.5","1014.9","17.8","93"
"11",2019-03-25 11:00:00,"1.0","1015.3","18.3","94"
"12",2019-03-25 12:00:00,"1.0","1014.8","18.7","95"
"13",2019-03-25 13:00:00,"0.0","1014.6","18.4","95"
"14",2019-03-25 14:00:00,"1.0","1014.3","18.0","95"
"15",2019-03-25 15:00:00,"1.0","1013.7","17.9","95"
"16",2019-03-25 16:00:00,"0.0","1014.4","17.4","95"
"17",2019-03-25 17:00:00,"0.0","1014.1","17.0","95"
"18",2019-03-25 18:00:00,"0.0","1014.5","16.7","95"
"19",2019-03-25 19:00:00,"0.0","1015.1","16.8","95"
"20",2019-03-25 20:00:00,"X","1015.8","16.8","96"
"21",2019-03-25 21:00:00,"0.0","1016.7","16.9","96"
"22",2019-03-25 22:00:00,"X","1017.3","16.9","96"
"23",2019-03-25 23:00:00,"0.0","1017.7","16.6","96"
"24",2019-03-26 00:00:00,"0.0","1018.1","16.4","96"
