"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.1","19.1","92"
"2",2019-03-25 02:00:00,"0.0","1013.4","18.9","95"
"3",2019-03-25 03:00:00,"0.0","1012.9","18.8","94"
"4",2019-03-25 04:00:00,"0.0","1013.0","18.6","95"
"5",2019-03-25 05:00:00,"0.0","1013.6","18.6","95"
"6",2019-03-25 06:00:00,"0.0","1014.3","18.0","96"
"7",2019-03-25 07:00:00,"0.0","1015.0","18.5","96"
"8",2019-03-25 08:00:00,"0.0","1015.2","20.7","86"
"9",2019-03-25 09:00:00,"0.0","1015.7","23.1","77"
"10",2019-03-25 10:00:00,"0.0","1015.5","24.7","67"
"11",2019-03-25 11:00:00,"0.0","1015.6","25.7","65"
"12",2019-03-25 12:00:00,"0.0","1014.9","26.4","63"
"13",2019-03-25 13:00:00,"0.0","1014.1","27.6","59"
"14",2019-03-25 14:00:00,"0.0","1013.5","27.7","59"
"15",2019-03-25 15:00:00,"0.0","1013.0","27.9","58"
"16",2019-03-25 16:00:00,"0.0","1012.5","26.7","62"
"17",2019-03-25 17:00:00,"0.0","1012.5","26.1","63"
"18",2019-03-25 18:00:00,"0.0","1012.9","25.4","68"
"19",2019-03-25 19:00:00,"0.0","1013.5","23.7","79"
"20",2019-03-25 20:00:00,"0.0","1014.0","22.5","84"
"21",2019-03-25 21:00:00,"0.0","1014.7","21.8","89"
"22",2019-03-25 22:00:00,"0.0","1015.0","21.3","92"
"23",2019-03-25 23:00:00,"0.0","1014.9","20.9","93"
"24",2019-03-26 00:00:00,"0.0","1015.0","20.6","94"
