"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1005.0","18.5","99"
"2",2019-03-25 02:00:00,"0.0","1003.9","18.2","99"
"3",2019-03-25 03:00:00,"0.0","1003.9","18.5","99"
"4",2019-03-25 04:00:00,"0.0","1003.4","18.5","99"
"5",2019-03-25 05:00:00,"0.0","1004.0","18.5","99"
"6",2019-03-25 06:00:00,"0.0","1004.9","18.5","99"
"7",2019-03-25 07:00:00,"0.0","1005.3","19.1","99"
"8",2019-03-25 08:00:00,"0.0","1005.9","20.3","99"
"9",2019-03-25 09:00:00,"0.0","1006.0","22.1","88"
"10",2019-03-25 10:00:00,"0.0","1006.5","23.6","82"
"11",2019-03-25 11:00:00,"0.0","1006.1","24.9","74"
"12",2019-03-25 12:00:00,"0.0","1005.4","26.5","66"
"13",2019-03-25 13:00:00,"0.0","1004.6","27.4","63"
"14",2019-03-25 14:00:00,"0.0","1004.0","28.4","61"
"15",2019-03-25 15:00:00,"0.0","1003.4","28.4","60"
"16",2019-03-25 16:00:00,"0.0","1003.1","28.8","59"
"17",2019-03-25 17:00:00,"0.0","1002.9","28.3","56"
"18",2019-03-25 18:00:00,"0.0","1002.9","27.4","61"
"19",2019-03-25 19:00:00,"0.0","1003.6","25.1","79"
"20",2019-03-25 20:00:00,"0.0","1004.3","23.8","83"
"21",2019-03-25 21:00:00,"0.0","1005.0","22.9","89"
"22",2019-03-25 22:00:00,"0.0","1005.2","22.2","94"
"23",2019-03-25 23:00:00,"0.0","1005.1","22.3","91"
"24",2019-03-26 00:00:00,"0.0","1005.1","22.2","86"
