"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1005.0","16.8","96"
"2",2019-03-25 02:00:00,"0.0","1004.4","16.4","96"
"3",2019-03-25 03:00:00,"0.0","1004.0","16.1","95"
"4",2019-03-25 04:00:00,"0.0","1004.6","16.3","96"
"5",2019-03-25 05:00:00,"0.0","1005.5","16.5","97"
"6",2019-03-25 06:00:00,"0.0","1005.5","17.8","93"
"7",2019-03-25 07:00:00,"0.0","1005.4","18.1","93"
"8",2019-03-25 08:00:00,"0.0","1006.2","18.5","94"
"9",2019-03-25 09:00:00,"0.0","1007.4","19.5","92"
"10",2019-03-25 10:00:00,"0.0","1007.3","22.0","77"
"11",2019-03-25 11:00:00,"0.0","1007.4","21.6","81"
"12",2019-03-25 12:00:00,"0.0","1007.2","20.6","89"
"13",2019-03-25 13:00:00,"0.0","1006.6","21.0","86"
"14",2019-03-25 14:00:00,"0.0","1005.7","21.6","82"
"15",2019-03-25 15:00:00,"0.0","1004.9","20.3","92"
"16",2019-03-25 16:00:00,"0.0","1005.1","21.7","85"
"17",2019-03-25 17:00:00,"0.0","1005.1","21.7","86"
"18",2019-03-25 18:00:00,"0.0","1004.9","21.4","88"
"19",2019-03-25 19:00:00,"0.0","1005.4","20.3","92"
"20",2019-03-25 20:00:00,"0.0","1005.9","19.7","92"
"21",2019-03-25 21:00:00,"0.0","1006.5","19.0","95"
"22",2019-03-25 22:00:00,"0.0","1006.8","18.6","96"
"23",2019-03-25 23:00:00,"0.0","1006.8","18.7","96"
"24",2019-03-26 00:00:00,"0.0","1007.0","18.3","97"
