"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","981.2","17.3","98"
"2",2019-03-25 02:00:00,"0.0","980.3","17.2","99"
"3",2019-03-25 03:00:00,"0.0","979.9","17.2","99"
"4",2019-03-25 04:00:00,"0.0","980.4","17.2","98"
"5",2019-03-25 05:00:00,"0.0","981.3","17.5","97"
"6",2019-03-25 06:00:00,"0.0","981.8","17.5","97"
"7",2019-03-25 07:00:00,"0.0","981.9","17.7","97"
"8",2019-03-25 08:00:00,"0.0","982.1","18.8","91"
"9",2019-03-25 09:00:00,"0.0","982.7","19.4","88"
"10",2019-03-25 10:00:00,"0.0","983.2","19.8","88"
"11",2019-03-25 11:00:00,"0.0","983.5","19.8","88"
"12",2019-03-25 12:00:00,"0.0","983.1","19.9","90"
"13",2019-03-25 13:00:00,"0.5","982.7","19.5","95"
"14",2019-03-25 14:00:00,"0.0","982.0","19.6","91"
"15",2019-03-25 15:00:00,"3.5","981.9","19.2","96"
"16",2019-03-25 16:00:00,"0.0","981.8","19.6","94"
"17",2019-03-25 17:00:00,"0.0","981.6","20.0","93"
"18",2019-03-25 18:00:00,"0.0","981.8","19.9","96"
"19",2019-03-25 19:00:00,"0.0","982.0","18.7","98"
"20",2019-03-25 20:00:00,"0.0","982.5","18.2","98"
"21",2019-03-25 21:00:00,"0.0","983.1","17.6","99"
"22",2019-03-25 22:00:00,"0.0","983.4","17.3","99"
"23",2019-03-25 23:00:00,"0.0","983.1","17.1","99"
"24",2019-03-26 00:00:00,"0.0","983.2","17.1","99"
