"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","/","/","/"
"2",2019-03-25 02:00:00,"X","/","/","/"
"3",2019-03-25 03:00:00,"X","/","/","/"
"4",2019-03-25 04:00:00,"X","1012.0","20.3","90"
"5",2019-03-25 05:00:00,"X","/","/","/"
"6",2019-03-25 06:00:00,"X","/","/","/"
"7",2019-03-25 07:00:00,"X","/","/","/"
"8",2019-03-25 08:00:00,"X","/","/","/"
"9",2019-03-25 09:00:00,"X","/","/","/"
"10",2019-03-25 10:00:00,"X","/","/","/"
"11",2019-03-25 11:00:00,"X","1014.5","25.2","69"
"12",2019-03-25 12:00:00,"0.0","1013.8","26.3","66"
"13",2019-03-25 13:00:00,"0.0","/","/","/"
"14",2019-03-25 14:00:00,"0.0","1012.5","28.0","62"
"15",2019-03-25 15:00:00,"0.0","1012.0","26.4","72"
"16",2019-03-25 16:00:00,"X","1011.5","27.3","66"
"17",2019-03-25 17:00:00,"0.0","1011.5","26.9","65"
"18",2019-03-25 18:00:00,"0.0","1011.9","25.7","68"
"19",2019-03-25 19:00:00,"0.0","1012.1","24.9","71"
"20",2019-03-25 20:00:00,"0.0","1012.8","23.8","80"
"21",2019-03-25 21:00:00,"0.0","1013.4","23.3","76"
"22",2019-03-25 22:00:00,"X","1013.8","22.9","81"
"23",2019-03-25 23:00:00,"0.0","1013.6","22.7","83"
"24",2019-03-26 00:00:00,"0.0","1013.6","21.9","90"
