"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1008.1","17.5","100"
"2",2019-03-25 02:00:00,"0.0","1007.3","17.0","100"
"3",2019-03-25 03:00:00,"0.0","1006.9","16.9","100"
"4",2019-03-25 04:00:00,"0.0","1006.9","17.0","100"
"5",2019-03-25 05:00:00,"0.0","1007.5","16.5","100"
"6",2019-03-25 06:00:00,"0.0","1008.2","16.8","100"
"7",2019-03-25 07:00:00,"0.0","1008.8","17.1","100"
"8",2019-03-25 08:00:00,"0.0","1009.1","18.9","97"
"9",2019-03-25 09:00:00,"0.0","1009.6","21.0","88"
"10",2019-03-25 10:00:00,"0.0","1009.6","24.6","70"
"11",2019-03-25 11:00:00,"0.0","1009.4","26.2","63"
"12",2019-03-25 12:00:00,"0.0","1008.6","27.0","62"
"13",2019-03-25 13:00:00,"0.0","/","/","/"
"14",2019-03-25 14:00:00,"0.0","1007.4","28.1","59"
"15",2019-03-25 15:00:00,"0.0","1006.9","27.3","61"
"16",2019-03-25 16:00:00,"0.0","1006.4","26.7","63"
"17",2019-03-25 17:00:00,"0.0","1006.4","26.1","65"
"18",2019-03-25 18:00:00,"0.0","1006.8","24.2","74"
"19",2019-03-25 19:00:00,"0.0","1007.3","22.1","87"
"20",2019-03-25 20:00:00,"0.0","1007.8","20.9","93"
"21",2019-03-25 21:00:00,"0.0","1008.6","20.2","96"
"22",2019-03-25 22:00:00,"0.0","1008.8","19.5","99"
"23",2019-03-25 23:00:00,"0.0","1008.7","19.0","100"
"24",2019-03-26 00:00:00,"0.0","1008.8","18.8","100"
