"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.0","23.0","78"
"2",2019-03-25 02:00:00,"0.0","1011.9","22.2","77"
"3",2019-03-25 03:00:00,"0.0","1011.6","22.4","78"
"4",2019-03-25 04:00:00,"0.0","1011.7","21.9","79"
"5",2019-03-25 05:00:00,"0.0","1011.9","22.2","77"
"6",2019-03-25 06:00:00,"0.0","1012.7","21.9","78"
"7",2019-03-25 07:00:00,"0.0","1013.5","23.1","76"
"8",2019-03-25 08:00:00,"0.0","1014.1","22.6","82"
"9",2019-03-25 09:00:00,"0.0","1014.2","25.2","62"
"10",2019-03-25 10:00:00,"0.0","1014.2","26.3","57"
"11",2019-03-25 11:00:00,"0.0","1013.9","27.7","55"
"12",2019-03-25 12:00:00,"0.0","1013.3","28.4","57"
"13",2019-03-25 13:00:00,"0.0","1012.8","28.0","56"
"14",2019-03-25 14:00:00,"0.0","1011.9","28.2","57"
"15",2019-03-25 15:00:00,"0.0","1011.8","28.1","57"
"16",2019-03-25 16:00:00,"0.0","1011.5","27.5","60"
"17",2019-03-25 17:00:00,"0.0","1011.4","27.1","66"
"18",2019-03-25 18:00:00,"0.0","1011.5","25.6","80"
"19",2019-03-25 19:00:00,"0.0","1012.0","25.4","80"
"20",2019-03-25 20:00:00,"0.0","1012.8","25.0","89"
"21",2019-03-25 21:00:00,"0.0","1013.5","24.5","90"
"22",2019-03-25 22:00:00,"0.0","1013.9","23.5","92"
"23",2019-03-25 23:00:00,"0.0","1014.1","23.4","90"
"24",2019-03-26 00:00:00,"0.0","1014.0","22.7","95"
