"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.5","1012.4","17.1","92"
"2",2019-03-25 02:00:00,"0.0","1011.5","16.9","92"
"3",2019-03-25 03:00:00,"0.0","1011.8","17.1","93"
"4",2019-03-25 04:00:00,"0.0","1012.3","17.2","93"
"5",2019-03-25 05:00:00,"0.0","1012.4","17.4","93"
"6",2019-03-25 06:00:00,"0.0","1012.6","17.5","93"
"7",2019-03-25 07:00:00,"T","1012.9","17.8","92"
"8",2019-03-25 08:00:00,"T","1014.1","18.5","91"
"9",2019-03-25 09:00:00,"0.5","1014.3","18.4","90"
"10",2019-03-25 10:00:00,"9.0","1014.9","18.7","92"
"11",2019-03-25 11:00:00,"1.0","1014.7","18.9","93"
"12",2019-03-25 12:00:00,"4.0","1015.0","18.0","92"
"13",2019-03-25 13:00:00,"8.0","1014.0","17.1","91"
"14",2019-03-25 14:00:00,"10.0","1013.8","17.5","94"
"15",2019-03-25 15:00:00,"0.5","1014.0","17.8","91"
"16",2019-03-25 16:00:00,"T","1013.6","18.1","91"
"17",2019-03-25 17:00:00,"0.0","1013.2","18.3","90"
"18",2019-03-25 18:00:00,"0.0","1013.7","18.5","89"
"19",2019-03-25 19:00:00,"0.0","1014.2","18.3","90"
"20",2019-03-25 20:00:00,"0.0","1014.6","18.4","90"
"21",2019-03-25 21:00:00,"0.0","1015.4","18.5","89"
"22",2019-03-25 22:00:00,"0.0","1015.8","18.4","90"
"23",2019-03-25 23:00:00,"0.0","1015.9","18.4","90"
"24",2019-03-26 00:00:00,"0.0","1015.9","18.5","89"
