"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","676.2","3.8","100"
"2",2019-03-25 02:00:00,"0.0","675.9","3.7","100"
"3",2019-03-25 03:00:00,"0.0","675.5","3.8","100"
"4",2019-03-25 04:00:00,"0.0","675.1","3.8","100"
"5",2019-03-25 05:00:00,"0.0","675.3","3.9","100"
"6",2019-03-25 06:00:00,"0.0","675.8","4.0","100"
"7",2019-03-25 07:00:00,"0.5","676.2","3.9","100"
"8",2019-03-25 08:00:00,"0.0","676.6","4.2","100"
"9",2019-03-25 09:00:00,"0.0","677.0","4.3","100"
"10",2019-03-25 10:00:00,"0.0","/","/","/"
"11",2019-03-25 11:00:00,"3.0","677.1","4.4","100"
"12",2019-03-25 12:00:00,"4.0","677.0","4.4","100"
"13",2019-03-25 13:00:00,"2.0","676.4","4.4","100"
"14",2019-03-25 14:00:00,"4.0","676.0","4.7","100"
"15",2019-03-25 15:00:00,"9.0","676.0","4.3","100"
"16",2019-03-25 16:00:00,"1.0","676.1","4.1","100"
"17",2019-03-25 17:00:00,"0.5","676.6","3.5","100"
"18",2019-03-25 18:00:00,"0.0","676.7","3.3","100"
"19",2019-03-25 19:00:00,"0.0","677.1","2.5","100"
"20",2019-03-25 20:00:00,"0.0","677.2","0.9","100"
"21",2019-03-25 21:00:00,"0.0","678.3","1.5","67"
"22",2019-03-25 22:00:00,"0.0","678.8","1.4","44"
"23",2019-03-25 23:00:00,"0.0","678.8","2.3","33"
"24",2019-03-26 00:00:00,"0.0","678.7","2.4","32"
