"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","990.6","15.7","99"
"2",2019-03-25 02:00:00,"0.0","989.5","15.9","99"
"3",2019-03-25 03:00:00,"0.0","990.2","15.6","99"
"4",2019-03-25 04:00:00,"0.0","990.4","15.8","99"
"5",2019-03-25 05:00:00,"0.0","990.7","16.2","99"
"6",2019-03-25 06:00:00,"0.0","990.8","16.5","99"
"7",2019-03-25 07:00:00,"0.5","991.2","16.8","99"
"8",2019-03-25 08:00:00,"0.5","992.5","16.9","99"
"9",2019-03-25 09:00:00,"0.0","992.2","17.2","99"
"10",2019-03-25 10:00:00,"2.0","993.4","17.3","99"
"11",2019-03-25 11:00:00,"3.5","992.4","18.3","99"
"12",2019-03-25 12:00:00,"0.0","992.8","17.9","99"
"13",2019-03-25 13:00:00,"5.0","993.0","16.3","99"
"14",2019-03-25 14:00:00,"5.0","991.9","16.4","99"
"15",2019-03-25 15:00:00,"1.0","991.6","17.6","99"
"16",2019-03-25 16:00:00,"0.0","991.8","17.1","99"
"17",2019-03-25 17:00:00,"0.0","991.2","16.9","99"
"18",2019-03-25 18:00:00,"0.0","992.0","16.8","99"
"19",2019-03-25 19:00:00,"0.0","992.5","16.8","99"
"20",2019-03-25 20:00:00,"0.0","992.6","16.8","99"
"21",2019-03-25 21:00:00,"0.0","993.6","16.8","99"
"22",2019-03-25 22:00:00,"0.0","993.9","16.9","99"
"23",2019-03-25 23:00:00,"0.0","994.1","16.8","99"
"24",2019-03-26 00:00:00,"0.0","994.1","16.8","99"
