"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","985.9","18.1","99"
"2",2019-03-25 02:00:00,"0.0","985.2","18.2","99"
"3",2019-03-25 03:00:00,"0.0","985.5","18.1","99"
"4",2019-03-25 04:00:00,"0.0","985.9","18.2","99"
"5",2019-03-25 05:00:00,"0.0","986.3","18.3","99"
"6",2019-03-25 06:00:00,"0.0","986.4","18.5","99"
"7",2019-03-25 07:00:00,"0.0","986.4","19.1","96"
"8",2019-03-25 08:00:00,"0.0","987.4","19.6","94"
"9",2019-03-25 09:00:00,"0.0","988.1","19.5","93"
"10",2019-03-25 10:00:00,"0.5","989.1","19.3","95"
"11",2019-03-25 11:00:00,"0.0","988.4","19.6","97"
"12",2019-03-25 12:00:00,"0.5","988.4","20.3","94"
"13",2019-03-25 13:00:00,"0.0","988.4","17.6","99"
"14",2019-03-25 14:00:00,"4.5","987.8","17.1","99"
"15",2019-03-25 15:00:00,"0.0","987.2","19.6","99"
"16",2019-03-25 16:00:00,"0.0","987.2","20.7","87"
"17",2019-03-25 17:00:00,"0.0","986.7","20.4","92"
"18",2019-03-25 18:00:00,"0.0","986.8","20.0","94"
"19",2019-03-25 19:00:00,"0.0","987.2","19.6","99"
"20",2019-03-25 20:00:00,"0.0","987.4","19.3","99"
"21",2019-03-25 21:00:00,"0.0","987.9","18.6","99"
"22",2019-03-25 22:00:00,"0.0","988.3","18.6","99"
"23",2019-03-25 23:00:00,"0.0","988.3","18.0","99"
"24",2019-03-26 00:00:00,"0.0","988.5","18.0","99"
