"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","983.2","15.3","99"
"2",2019-03-25 02:00:00,"0.0","982.3","15.2","99"
"3",2019-03-25 03:00:00,"0.0","981.8","15.3","99"
"4",2019-03-25 04:00:00,"0.0","982.1","15.2","99"
"5",2019-03-25 05:00:00,"0.0","982.7","14.7","99"
"6",2019-03-25 06:00:00,"0.0","983.1","14.8","99"
"7",2019-03-25 07:00:00,"0.0","983.3","15.3","99"
"8",2019-03-25 08:00:00,"0.0","983.9","16.0","99"
"9",2019-03-25 09:00:00,"0.0","985.3","16.7","99"
"10",2019-03-25 10:00:00,"0.0","984.7","17.0","99"
"11",2019-03-25 11:00:00,"2.0","984.6","17.9","99"
"12",2019-03-25 12:00:00,"X","984.2","17.6","99"
"13",2019-03-25 13:00:00,"0.0","984.3","17.8","99"
"14",2019-03-25 14:00:00,"2.5","983.8","17.9","99"
"15",2019-03-25 15:00:00,"0.0","983.3","17.3","99"
"16",2019-03-25 16:00:00,"0.5","/","/","/"
"17",2019-03-25 17:00:00,"0.0","/","/","/"
"18",2019-03-25 18:00:00,"0.0","983.8","16.5","99"
"19",2019-03-25 19:00:00,"0.0","984.4","16.4","99"
"20",2019-03-25 20:00:00,"0.0","985.1","16.4","99"
"21",2019-03-25 21:00:00,"0.0","986.0","16.4","99"
"22",2019-03-25 22:00:00,"0.5","/","/","/"
"23",2019-03-25 23:00:00,"0.0","/","/","/"
"24",2019-03-26 00:00:00,"0.5","987.0","15.5","99"
