"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1010.9","20.7","..."
"2",2019-03-25 02:00:00,"0.0","1010.0","20.4","..."
"3",2019-03-25 03:00:00,"0.0","1009.5","20.3","..."
"4",2019-03-25 04:00:00,"0.0","1009.4","20.4","..."
"5",2019-03-25 05:00:00,"0.0","1009.6","20.3","..."
"6",2019-03-25 06:00:00,"0.0","1010.1","20.4","..."
"7",2019-03-25 07:00:00,"0.0","1011.0","20.5","..."
"8",2019-03-25 08:00:00,"0.0","1011.4","21.3","..."
"9",2019-03-25 09:00:00,"0.0","1011.3","25.1","..."
"10",2019-03-25 10:00:00,"0.0","1011.6","25.8","..."
"11",2019-03-25 11:00:00,"0.0","1011.4","25.7","..."
"12",2019-03-25 12:00:00,"0.0","1010.6","25.9","..."
"13",2019-03-25 13:00:00,"0.0","1010.0","26.8","..."
"14",2019-03-25 14:00:00,"0.0","1009.3","27.6","..."
"15",2019-03-25 15:00:00,"0.0","1008.9","27.2","..."
"16",2019-03-25 16:00:00,"0.0","1009.1","26.0","..."
"17",2019-03-25 17:00:00,"0.0","1009.0","25.2","..."
"18",2019-03-25 18:00:00,"0.0","1009.2","23.5","..."
"19",2019-03-25 19:00:00,"0.0","1009.8","23.0","..."
"20",2019-03-25 20:00:00,"0.0","1010.2","22.9","..."
"21",2019-03-25 21:00:00,"0.0","1011.2","21.9","..."
"22",2019-03-25 22:00:00,"0.0","1011.5","20.9","..."
"23",2019-03-25 23:00:00,"0.0","1011.6","20.6","..."
"24",2019-03-26 00:00:00,"0.0","1011.5","21.4","..."
