"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","985.4","16.9","99"
"2",2019-03-25 02:00:00,"0.0","984.7","17.6","99"
"3",2019-03-25 03:00:00,"0.0","983.9","17.8","99"
"4",2019-03-25 04:00:00,"0.0","985.0","16.7","99"
"5",2019-03-25 05:00:00,"0.0","985.9","16.8","99"
"6",2019-03-25 06:00:00,"0.0","986.3","16.9","99"
"7",2019-03-25 07:00:00,"0.0","986.0","17.9","98"
"8",2019-03-25 08:00:00,"0.0","986.1","19.3","90"
"9",2019-03-25 09:00:00,"0.0","987.1","20.9","82"
"10",2019-03-25 10:00:00,"0.0","987.7","21.3","84"
"11",2019-03-25 11:00:00,"0.0","987.9","20.8","84"
"12",2019-03-25 12:00:00,"0.5","987.3","19.9","97"
"13",2019-03-25 13:00:00,"0.0","987.3","19.9","99"
"14",2019-03-25 14:00:00,"0.0","986.5","20.7","93"
"15",2019-03-25 15:00:00,"0.5","986.1","20.4","99"
"16",2019-03-25 16:00:00,"0.5","985.7","20.8","92"
"17",2019-03-25 17:00:00,"0.0","985.3","21.7","85"
"18",2019-03-25 18:00:00,"0.0","985.8","21.3","88"
"19",2019-03-25 19:00:00,"0.0","985.9","20.8","90"
"20",2019-03-25 20:00:00,"0.0","986.4","20.2","93"
"21",2019-03-25 21:00:00,"0.0","986.9","20.1","92"
"22",2019-03-25 22:00:00,"0.0","987.2","19.9","91"
"23",2019-03-25 23:00:00,"0.0","987.2","19.2","94"
"24",2019-03-26 00:00:00,"0.0","987.2","18.0","99"
