"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1010.1","18.8","96"
"2",2019-03-25 02:00:00,"0.0","1009.2","18.6","97"
"3",2019-03-25 03:00:00,"0.0","1008.9","18.2","98"
"4",2019-03-25 04:00:00,"0.0","1008.5","18.1","98"
"5",2019-03-25 05:00:00,"0.0","1009.3","18.1","97"
"6",2019-03-25 06:00:00,"0.0","1009.9","18.4","93"
"7",2019-03-25 07:00:00,"0.0","1010.7","18.7","92"
"8",2019-03-25 08:00:00,"0.0","1010.9","20.4","85"
"9",2019-03-25 09:00:00,"0.0","1011.3","22.1","78"
"10",2019-03-25 10:00:00,"0.0","1011.5","24.0","67"
"11",2019-03-25 11:00:00,"0.0","1011.2","25.2","61"
"12",2019-03-25 12:00:00,"0.0","1010.5","26.6","58"
"13",2019-03-25 13:00:00,"0.0","1009.8","27.4","57"
"14",2019-03-25 14:00:00,"0.0","1009.0","28.3","54"
"15",2019-03-25 15:00:00,"0.0","1008.5","28.3","53"
"16",2019-03-25 16:00:00,"0.0","1008.3","28.1","55"
"17",2019-03-25 17:00:00,"0.0","1008.2","27.8","56"
"18",2019-03-25 18:00:00,"0.0","1008.3","26.9","60"
"19",2019-03-25 19:00:00,"0.0","1008.8","24.9","70"
"20",2019-03-25 20:00:00,"0.0","1009.5","23.8","76"
"21",2019-03-25 21:00:00,"0.0","1010.2","23.1","80"
"22",2019-03-25 22:00:00,"0.0","1010.4","23.5","75"
"23",2019-03-25 23:00:00,"0.0","1010.5","22.6","81"
"24",2019-03-26 00:00:00,"0.0","1010.5","22.1","83"
