"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","929.9","15.9","100"
"2",2019-03-25 02:00:00,"0.0","928.7","17.5","96"
"3",2019-03-25 03:00:00,"0.0","928.7","16.5","100"
"4",2019-03-25 04:00:00,"0.0","928.3","18.8","86"
"5",2019-03-25 05:00:00,"0.0","928.9","17.0","99"
"6",2019-03-25 06:00:00,"0.0","929.6","16.7","100"
"7",2019-03-25 07:00:00,"0.0","930.3","16.2","100"
"8",2019-03-25 08:00:00,"0.0","930.5","20.0","87"
"9",2019-03-25 09:00:00,"0.0","931.3","19.1","97"
"10",2019-03-25 10:00:00,"0.0","931.5","20.0","94"
"11",2019-03-25 11:00:00,"0.0","931.3","22.1","84"
"12",2019-03-25 12:00:00,"0.0","931.1","22.0","82"
"13",2019-03-25 13:00:00,"0.0","930.6","23.4","75"
"14",2019-03-25 14:00:00,"0.0","930.1","22.7","77"
"15",2019-03-25 15:00:00,"0.0","929.7","22.9","74"
"16",2019-03-25 16:00:00,"0.0","929.5","22.0","79"
"17",2019-03-25 17:00:00,"0.0","929.2","22.3","77"
"18",2019-03-25 18:00:00,"0.0","929.3","21.4","81"
"19",2019-03-25 19:00:00,"X","929.8","20.7","83"
"20",2019-03-25 20:00:00,"0.0","930.3","21.0","78"
"21",2019-03-25 21:00:00,"0.0","930.9","21.1","80"
"22",2019-03-25 22:00:00,"0.0","931.0","20.6","84"
"23",2019-03-25 23:00:00,"0.0","931.1","20.2","85"
"24",2019-03-26 00:00:00,"0.0","931.1","20.1","85"
