"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1015.3","13.7","85"
"2",2019-03-25 02:00:00,"0.0","1014.1","13.5","88"
"3",2019-03-25 03:00:00,"0.0","1013.7","13.5","88"
"4",2019-03-25 04:00:00,"0.0","1013.9","13.9","86"
"5",2019-03-25 05:00:00,"0.0","1013.7","14.1","85"
"6",2019-03-25 06:00:00,"5.5","1014.3","13.8","89"
"7",2019-03-25 07:00:00,"0.5","1014.3","14.1","91"
"8",2019-03-25 08:00:00,"0.5","1015.3","14.3","91"
"9",2019-03-25 09:00:00,"3.0","1017.0","14.4","90"
"10",2019-03-25 10:00:00,"0.5","1016.4","14.9","91"
"11",2019-03-25 11:00:00,"0.5","1015.9","15.6","92"
"12",2019-03-25 12:00:00,"T","1015.4","16.2","88"
"13",2019-03-25 13:00:00,"0.0","1014.5","16.6","87"
"14",2019-03-25 14:00:00,"0.0","1013.8","16.5","87"
"15",2019-03-25 15:00:00,"0.0","1013.0","17.9","84"
"16",2019-03-25 16:00:00,"0.0","1012.9","19.2","79"
"17",2019-03-25 17:00:00,"0.0","1012.8","18.4","82"
"18",2019-03-25 18:00:00,"0.0","1013.2","16.5","86"
"19",2019-03-25 19:00:00,"0.0","1013.7","15.7","87"
"20",2019-03-25 20:00:00,"0.0","1014.3","15.9","87"
"21",2019-03-25 21:00:00,"0.0","1015.0","15.4","88"
"22",2019-03-25 22:00:00,"0.0","1015.7","15.1","89"
"23",2019-03-25 23:00:00,"0.0","1015.8","15.0","90"
"24",2019-03-26 00:00:00,"0.0","1016.0","14.9","90"
