"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.0","21.5","..."
"2",2019-03-25 02:00:00,"0.0","1013.6","21.2","..."
"3",2019-03-25 03:00:00,"0.0","1012.6","21.2","..."
"4",2019-03-25 04:00:00,"0.0","1012.9","21.1","..."
"5",2019-03-25 05:00:00,"0.0","1013.3","21.2","..."
"6",2019-03-25 06:00:00,"0.0","1013.2","21.4","..."
"7",2019-03-25 07:00:00,"0.0","1014.3","22.6","..."
"8",2019-03-25 08:00:00,"0.0","1015.1","23.7","..."
"9",2019-03-25 09:00:00,"0.0","1014.8","25.1","..."
"10",2019-03-25 10:00:00,"0.0","1015.0","26.8","..."
"11",2019-03-25 11:00:00,"0.0","1014.9","26.8","..."
"12",2019-03-25 12:00:00,"0.0","1014.3","28.1","..."
"13",2019-03-25 13:00:00,"0.0","1013.9","27.6","..."
"14",2019-03-25 14:00:00,"0.0","1013.0","27.8","..."
"15",2019-03-25 15:00:00,"0.0","1012.5","28.1","..."
"16",2019-03-25 16:00:00,"0.0","1012.5","27.2","..."
"17",2019-03-25 17:00:00,"0.0","1012.6","26.5","..."
"18",2019-03-25 18:00:00,"0.0","1012.7","25.2","..."
"19",2019-03-25 19:00:00,"0.0","1013.6","24.5","..."
"20",2019-03-25 20:00:00,"0.0","1014.1","24.0","..."
"21",2019-03-25 21:00:00,"0.0","1014.1","23.7","..."
"22",2019-03-25 22:00:00,"0.0","1014.8","23.4","..."
"23",2019-03-25 23:00:00,"0.0","1014.8","23.2","..."
"24",2019-03-26 00:00:00,"0.0","1015.3","23.3","..."
