"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","706.0","4.2","99"
"2",2019-03-25 02:00:00,"0.0","705.6","4.1","99"
"3",2019-03-25 03:00:00,"0.0","705.2","4.2","99"
"4",2019-03-25 04:00:00,"0.0","705.0","4.2","99"
"5",2019-03-25 05:00:00,"0.0","705.1","4.3","99"
"6",2019-03-25 06:00:00,"0.0","705.6","4.4","99"
"7",2019-03-25 07:00:00,"0.0","706.1","4.5","99"
"8",2019-03-25 08:00:00,"0.0","706.5","4.7","99"
"9",2019-03-25 09:00:00,"0.0","706.9","4.6","99"
"10",2019-03-25 10:00:00,"0.0","707.0","4.8","99"
"11",2019-03-25 11:00:00,"1.0","707.0","5.0","99"
"12",2019-03-25 12:00:00,"1.0","706.7","4.7","99"
"13",2019-03-25 13:00:00,"0.5","706.1","4.6","99"
"14",2019-03-25 14:00:00,"1.5","705.7","5.0","99"
"15",2019-03-25 15:00:00,"2.0","705.8","4.6","99"
"16",2019-03-25 16:00:00,"0.0","705.9","4.5","99"
"17",2019-03-25 17:00:00,"0.0","706.6","4.0","99"
"18",2019-03-25 18:00:00,"0.0","706.9","3.9","99"
"19",2019-03-25 19:00:00,"0.0","707.3","3.4","99"
"20",2019-03-25 20:00:00,"0.0","708.0","2.9","99"
"21",2019-03-25 21:00:00,"0.0","708.5","1.7","99"
"22",2019-03-25 22:00:00,"0.0","708.8","0.2","93"
"23",2019-03-25 23:00:00,"0.0","708.7","2.1","39"
"24",2019-03-26 00:00:00,"0.0","708.6","2.3","46"
