"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","/","/","/"
"2",2019-03-25 02:00:00,"0.0","1013.1","19.1","99"
"3",2019-03-25 03:00:00,"0.0","1012.8","18.7","99"
"4",2019-03-25 04:00:00,"0.0","1012.7","18.6","99"
"5",2019-03-25 05:00:00,"0.0","1013.2","18.5","99"
"6",2019-03-25 06:00:00,"0.0","1014.0","18.4","99"
"7",2019-03-25 07:00:00,"0.0","1014.8","18.9","99"
"8",2019-03-25 08:00:00,"0.0","1015.1","20.1","99"
"9",2019-03-25 09:00:00,"0.0","1015.5","22.7","84"
"10",2019-03-25 10:00:00,"0.0","1015.3","23.9","77"
"11",2019-03-25 11:00:00,"0.0","1014.7","25.4","72"
"12",2019-03-25 12:00:00,"0.0","1014.4","26.5","70"
"13",2019-03-25 13:00:00,"0.0","1013.4","27.6","70"
"14",2019-03-25 14:00:00,"0.0","1012.6","27.5","73"
"15",2019-03-25 15:00:00,"0.0","1012.1","28.0","67"
"16",2019-03-25 16:00:00,"0.0","1011.8","26.9","76"
"17",2019-03-25 17:00:00,"0.0","1011.6","27.7","68"
"18",2019-03-25 18:00:00,"0.0","1011.9","27.1","70"
"19",2019-03-25 19:00:00,"0.0","1012.3","26.1","73"
"20",2019-03-25 20:00:00,"0.0","1013.1","24.9","78"
"21",2019-03-25 21:00:00,"0.0","1014.0","23.2","87"
"22",2019-03-25 22:00:00,"0.0","1014.3","23.0","89"
"23",2019-03-25 23:00:00,"0.0","1014.5","22.6","90"
"24",2019-03-26 00:00:00,"0.0","1014.6","22.5","90"
