"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1004.6","17.4","98"
"2",2019-03-25 02:00:00,"0.0","1003.8","18.0","94"
"3",2019-03-25 03:00:00,"0.0","1003.5","17.1","97"
"4",2019-03-25 04:00:00,"0.0","1004.3","16.6","98"
"5",2019-03-25 05:00:00,"0.0","1005.0","16.8","99"
"6",2019-03-25 06:00:00,"0.0","1005.1","17.6","98"
"7",2019-03-25 07:00:00,"0.0","1005.0","17.9","96"
"8",2019-03-25 08:00:00,"0.0","1005.6","19.1","91"
"9",2019-03-25 09:00:00,"0.0","1006.7","20.2","90"
"10",2019-03-25 10:00:00,"0.0","1006.9","21.6","79"
"11",2019-03-25 11:00:00,"0.0","1006.8","20.3","91"
"12",2019-03-25 12:00:00,"0.0","1006.6","20.6","90"
"13",2019-03-25 13:00:00,"0.0","1006.0","20.6","91"
"14",2019-03-25 14:00:00,"0.0","1005.3","20.3","93"
"15",2019-03-25 15:00:00,"0.0","1004.4","20.5","91"
"16",2019-03-25 16:00:00,"0.0","1004.5","21.7","83"
"17",2019-03-25 17:00:00,"0.0","1004.6","22.0","86"
"18",2019-03-25 18:00:00,"0.0","1004.6","21.9","87"
"19",2019-03-25 19:00:00,"0.0","1004.9","20.4","92"
"20",2019-03-25 20:00:00,"0.0","1005.3","19.1","97"
"21",2019-03-25 21:00:00,"0.0","1005.9","18.3","98"
"22",2019-03-25 22:00:00,"0.0","1006.3","18.1","98"
"23",2019-03-25 23:00:00,"0.0","1006.3","18.3","99"
"24",2019-03-26 00:00:00,"0.0","1006.5","17.9","99"
