"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.5","20.0","95"
"2",2019-03-25 02:00:00,"0.0","1013.4","19.8","95"
"3",2019-03-25 03:00:00,"0.0","1013.1","19.7","95"
"4",2019-03-25 04:00:00,"0.0","1013.1","19.4","96"
"5",2019-03-25 05:00:00,"0.0","1013.6","19.8","93"
"6",2019-03-25 06:00:00,"0.0","1014.4","19.8","91"
"7",2019-03-25 07:00:00,"0.0","1015.2","19.9","93"
"8",2019-03-25 08:00:00,"0.0","1015.4","21.7","85"
"9",2019-03-25 09:00:00,"0.0","1015.7","23.6","75"
"10",2019-03-25 10:00:00,"0.0","1015.6","25.2","69"
"11",2019-03-25 11:00:00,"0.0","1015.3","26.5","64"
"12",2019-03-25 12:00:00,"0.0","1014.6","28.2","58"
"13",2019-03-25 13:00:00,"0.0","1013.6","29.5","55"
"14",2019-03-25 14:00:00,"0.0","1013.0","29.7","55"
"15",2019-03-25 15:00:00,"0.0","1012.4","29.1","58"
"16",2019-03-25 16:00:00,"0.0","1012.2","28.9","59"
"17",2019-03-25 17:00:00,"0.0","1012.1","28.6","59"
"18",2019-03-25 18:00:00,"0.0","1012.3","27.8","61"
"19",2019-03-25 19:00:00,"0.0","1012.9","26.8","64"
"20",2019-03-25 20:00:00,"0.0","1013.4","26.1","67"
"21",2019-03-25 21:00:00,"0.0","1014.4","24.6","74"
"22",2019-03-25 22:00:00,"0.0","1014.7","23.9","77"
"23",2019-03-25 23:00:00,"0.0","1014.7","23.9","76"
"24",2019-03-26 00:00:00,"0.0","1014.8","23.2","80"
