"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1008.9","19.9","93"
"2",2019-03-25 02:00:00,"0.0","1007.9","19.6","94"
"3",2019-03-25 03:00:00,"0.0","1007.5","19.9","93"
"4",2019-03-25 04:00:00,"0.0","1007.5","19.5","95"
"5",2019-03-25 05:00:00,"0.0","1007.8","20.1","94"
"6",2019-03-25 06:00:00,"0.0","1008.6","20.5","89"
"7",2019-03-25 07:00:00,"0.0","1009.5","21.0","87"
"8",2019-03-25 08:00:00,"0.0","1009.9","21.5","85"
"9",2019-03-25 09:00:00,"0.0","1010.3","23.7","75"
"10",2019-03-25 10:00:00,"0.0","1010.1","25.0","69"
"11",2019-03-25 11:00:00,"0.0","1009.7","26.0","66"
"12",2019-03-25 12:00:00,"0.0","1009.4","26.8","66"
"13",2019-03-25 13:00:00,"0.0","1008.5","27.3","65"
"14",2019-03-25 14:00:00,"0.0","1007.9","27.4","69"
"15",2019-03-25 15:00:00,"0.0","1007.5","27.4","70"
"16",2019-03-25 16:00:00,"0.0","1007.1","26.3","75"
"17",2019-03-25 17:00:00,"0.0","1006.9","25.7","80"
"18",2019-03-25 18:00:00,"0.0","1007.2","24.5","86"
"19",2019-03-25 19:00:00,"0.0","1007.6","24.3","80"
"20",2019-03-25 20:00:00,"0.0","1008.2","23.8","89"
"21",2019-03-25 21:00:00,"0.0","1008.9","23.3","89"
"22",2019-03-25 22:00:00,"0.0","1009.4","23.2","82"
"23",2019-03-25 23:00:00,"0.0","1009.5","23.0","81"
"24",2019-03-26 00:00:00,"0.0","1009.5","23.2","79"
