"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","782.3","9.5","100"
"2",2019-03-25 02:00:00,"0.0","781.8","9.7","100"
"3",2019-03-25 03:00:00,"0.0","781.3","9.6","100"
"4",2019-03-25 04:00:00,"0.0","781.1","9.7","100"
"5",2019-03-25 05:00:00,"0.0","781.2","9.9","100"
"6",2019-03-25 06:00:00,"0.0","781.9","9.5","100"
"7",2019-03-25 07:00:00,"0.0","782.3","10.2","100"
"8",2019-03-25 08:00:00,"0.0","782.8","10.7","100"
"9",2019-03-25 09:00:00,"0.0","783.2","10.6","100"
"10",2019-03-25 10:00:00,"0.0","783.3","9.9","100"
"11",2019-03-25 11:00:00,"1.0","783.3","9.9","100"
"12",2019-03-25 12:00:00,"0.5","783.2","10.0","100"
"13",2019-03-25 13:00:00,"0.5","782.7","9.9","100"
"14",2019-03-25 14:00:00,"2.5","782.1","10.1","100"
"15",2019-03-25 15:00:00,"5.5","782.1","10.1","100"
"16",2019-03-25 16:00:00,"0.5","782.8","10.0","100"
"17",2019-03-25 17:00:00,"0.0","783.1","10.0","100"
"18",2019-03-25 18:00:00,"0.0","783.0","9.9","100"
"19",2019-03-25 19:00:00,"0.0","783.5","9.9","100"
"20",2019-03-25 20:00:00,"0.0","784.2","9.6","100"
"21",2019-03-25 21:00:00,"0.0","784.9","7.9","100"
"22",2019-03-25 22:00:00,"0.0","785.1","6.4","100"
"23",2019-03-25 23:00:00,"0.0","785.1","5.6","100"
"24",2019-03-26 00:00:00,"0.0","784.7","4.8","100"
