"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","985.2","17.0","99"
"2",2019-03-25 02:00:00,"0.0","984.2","16.9","99"
"3",2019-03-25 03:00:00,"0.0","984.0","16.6","99"
"4",2019-03-25 04:00:00,"0.0","983.8","16.4","99"
"5",2019-03-25 05:00:00,"0.0","984.2","16.6","99"
"6",2019-03-25 06:00:00,"0.0","985.0","16.6","99"
"7",2019-03-25 07:00:00,"0.0","985.4","17.3","99"
"8",2019-03-25 08:00:00,"0.0","986.0","19.0","97"
"9",2019-03-25 09:00:00,"0.0","986.1","19.8","96"
"10",2019-03-25 10:00:00,"0.0","986.6","23.3","74"
"11",2019-03-25 11:00:00,"0.0","986.1","25.1","65"
"12",2019-03-25 12:00:00,"0.0","985.6","25.8","62"
"13",2019-03-25 13:00:00,"0.0","985.1","26.0","61"
"14",2019-03-25 14:00:00,"0.0","984.6","26.5","60"
"15",2019-03-25 15:00:00,"X","984.2","26.2","62"
"16",2019-03-25 16:00:00,"0.0","984.0","26.7","55"
"17",2019-03-25 17:00:00,"0.0","983.7","27.1","56"
"18",2019-03-25 18:00:00,"0.0","983.7","23.5","83"
"19",2019-03-25 19:00:00,"0.0","984.0","21.6","91"
"20",2019-03-25 20:00:00,"0.0","984.9","20.9","94"
"21",2019-03-25 21:00:00,"0.0","985.7","20.1","98"
"22",2019-03-25 22:00:00,"0.0","986.0","19.6","99"
"23",2019-03-25 23:00:00,"X","985.8","19.1","99"
"24",2019-03-26 00:00:00,"0.0","985.7","18.4","99"
