"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.7","17.1","98"
"2",2019-03-25 02:00:00,"0.0","1012.7","16.8","99"
"3",2019-03-25 03:00:00,"0.0","1012.8","16.3","99"
"4",2019-03-25 04:00:00,"0.0","1012.8","16.2","99"
"5",2019-03-25 05:00:00,"0.0","1013.7","16.3","99"
"6",2019-03-25 06:00:00,"0.0","1013.7","16.7","99"
"7",2019-03-25 07:00:00,"0.0","1013.9","17.4","99"
"8",2019-03-25 08:00:00,"0.0","1014.7","18.0","99"
"9",2019-03-25 09:00:00,"0.0","1015.6","20.0","92"
"10",2019-03-25 10:00:00,"0.0","1015.7","21.3","83"
"11",2019-03-25 11:00:00,"0.0","1015.8","21.6","83"
"12",2019-03-25 12:00:00,"0.0","1015.6","20.8","89"
"13",2019-03-25 13:00:00,"0.0","1014.9","22.9","77"
"14",2019-03-25 14:00:00,"0.0","1014.0","22.3","80"
"15",2019-03-25 15:00:00,"0.0","1013.6","21.8","84"
"16",2019-03-25 16:00:00,"0.0","1013.5","21.4","86"
"17",2019-03-25 17:00:00,"0.0","1013.2","21.1","88"
"18",2019-03-25 18:00:00,"0.0","1013.5","21.1","88"
"19",2019-03-25 19:00:00,"0.0","1013.7","20.4","91"
"20",2019-03-25 20:00:00,"0.0","1014.3","20.0","93"
"21",2019-03-25 21:00:00,"0.0","1015.0","19.6","95"
"22",2019-03-25 22:00:00,"0.0","1015.2","19.2","96"
"23",2019-03-25 23:00:00,"0.0","1015.2","19.0","96"
"24",2019-03-26 00:00:00,"0.0","1015.3","19.1","95"
