"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","987.6","16.1","95"
"2",2019-03-25 02:00:00,"0.0","986.2","15.8","96"
"3",2019-03-25 03:00:00,"0.0","986.8","15.9","95"
"4",2019-03-25 04:00:00,"0.0","986.9","15.9","95"
"5",2019-03-25 05:00:00,"0.0","987.3","16.6","94"
"6",2019-03-25 06:00:00,"0.0","987.5","16.7","96"
"7",2019-03-25 07:00:00,"0.0","987.9","17.3","94"
"8",2019-03-25 08:00:00,"0.5","989.2","17.3","94"
"9",2019-03-25 09:00:00,"0.0","989.2","17.1","97"
"10",2019-03-25 10:00:00,"8.5","989.6","17.2","97"
"11",2019-03-25 11:00:00,"4.0","989.3","17.9","96"
"12",2019-03-25 12:00:00,"0.0","989.3","17.7","95"
"13",2019-03-25 13:00:00,"4.0","989.9","15.9","96"
"14",2019-03-25 14:00:00,"10.5","988.3","16.2","97"
"15",2019-03-25 15:00:00,"0.5","988.7","16.9","96"
"16",2019-03-25 16:00:00,"0.5","988.5","16.4","96"
"17",2019-03-25 17:00:00,"0.0","988.1","16.5","96"
"18",2019-03-25 18:00:00,"0.0","988.8","16.5","97"
"19",2019-03-25 19:00:00,"0.0","989.3","16.5","97"
"20",2019-03-25 20:00:00,"0.0","989.7","16.6","97"
"21",2019-03-25 21:00:00,"0.0","990.6","16.6","97"
"22",2019-03-25 22:00:00,"0.0","990.9","16.6","97"
"23",2019-03-25 23:00:00,"0.0","991.1","16.6","98"
"24",2019-03-26 00:00:00,"0.0","991.1","16.5","98"
