"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.9","17.1","98"
"2",2019-03-25 02:00:00,"0.0","1012.1","16.6","98"
"3",2019-03-25 03:00:00,"0.0","1012.1","16.5","99"
"4",2019-03-25 04:00:00,"0.0","1012.1","16.3","99"
"5",2019-03-25 05:00:00,"0.0","1013.0","16.2","99"
"6",2019-03-25 06:00:00,"0.0","1013.0","16.8","99"
"7",2019-03-25 07:00:00,"0.0","1013.4","17.3","99"
"8",2019-03-25 08:00:00,"0.0","1014.0","18.2","99"
"9",2019-03-25 09:00:00,"0.0","1014.9","20.8","86"
"10",2019-03-25 10:00:00,"0.0","1015.0","22.3","79"
"11",2019-03-25 11:00:00,"0.0","1015.0","22.3","78"
"12",2019-03-25 12:00:00,"0.0","1014.8","21.7","85"
"13",2019-03-25 13:00:00,"0.0","1014.2","23.6","73"
"14",2019-03-25 14:00:00,"0.0","/","/","/"
"15",2019-03-25 15:00:00,"0.0","/","/","/"
"16",2019-03-25 16:00:00,"0.0","1012.4","21.9","83"
"17",2019-03-25 17:00:00,"0.0","1012.5","21.6","85"
"18",2019-03-25 18:00:00,"0.0","1012.7","21.1","88"
"19",2019-03-25 19:00:00,"0.0","1012.9","20.3","92"
"20",2019-03-25 20:00:00,"0.0","1013.6","19.9","93"
"21",2019-03-25 21:00:00,"0.0","1014.2","19.5","94"
"22",2019-03-25 22:00:00,"0.0","1014.5","19.0","96"
"23",2019-03-25 23:00:00,"0.0","1014.5","18.7","97"
"24",2019-03-26 00:00:00,"0.0","1014.6","18.3","97"
